AnonId,QKset,Mating,Conclusion,Outcome,Conclusion Category,Conclusion Type,QQ-Norm,QQ-Score,TIRE-03_DIMEN,TIRE-04_QCONT,TIRE-05_QSIZE,TIRE-06_QPATT,TIRE-07_QDIST,TIRE-08_QOVER,TIRE-09_QSUB,TIRE-10_QMAT,TIRE-11_QCLAR,TIRE-12_SUIT,TIRE-13_SUITBASIS,TIRE-13_OTHBASIS,TIRE-14_DESIGN,TIRE-15_SIZE,TIRE-16_MOLD,TIRE-17_WEAR,TIRE-18_DEGWEAR,TIRE-19_WEARDIFF,TIRE-20_RACS,TIRE-21_CONC,TIRE-22_LIMIT,TIRE-22_OTHLIMIT,NumLimitations,TIRE-23_DIFF,TIRE-24_TYPCW,TIRE-25_QTYPE,TIRE-26_QQUAL,TIRE-27_QAREA,TIRE-28_SOFTWARE,TIRE-29_COMM,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK64,Mated,Assn,M-Assn,Classification,Classification,0.57,8,B_THREED,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE,L_RACCLARITY",,3,B_EASY,B_INFREQ,B_OCCASIONAL,A_OFTEN,B_OCCASIONAL,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK68,Mated,Assn,M-Assn,Classification,Classification,0.57,8,B_THREED,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE",,2,B_EASY,B_INFREQ,B_OCCASIONAL,C_RARELY,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK69,Mated,LimitedAssn,M-LimitedAssn,Classification,Classification,0.57,8,B_THREED,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,C_UNSURE,C_UNSURE,C_UNSURE,,,B_NO,D_LIMITED,"A_QQUAL,C_DISTORTION,D_NOISE,G_QIMAGES",,4,B_EASY,C_NO,C_RARELY,A_OFTEN,B_OCCASIONAL,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK74,Nonmated,Assn,N-Assn,Classification,Classification,0.57,8,B_THREED,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE",,2,B_EASY,A_OFTEN,B_OCCASIONAL,A_OFTEN,A_OFTEN,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK77,Nonmated,LimitedAssn,N-LimitedAssn,Classification,Classification,0.56,9,A_TWOD,B_MOD,C_NO,B_SOMEWHAT,B_SOME,C_NO-OVERLAP,A_YES,B_SOMEWHAT,B_SOMECLEAR,A_YES,,,A_YES,C_UNSURE,C_UNSURE,C_UNSURE,,,B_NO,D_LIMITED,"A_QQUAL,C_DISTORTION,D_NOISE",,3,C_MODERATE,B_INFREQ,C_RARELY,B_OCCASIONAL,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK79,Nonmated,Assn,N-Assn,Classification,Classification,0.57,8,B_THREED,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE,F_RECOVERY",,3,C_MODERATE,B_INFREQ,B_OCCASIONAL,A_OFTEN,B_OCCASIONAL,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK81,Nonmated,Assn,N-Assn,Classification,Classification,1.00,16,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,C_NO,C_NO,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,C_UNSURE,B_NO,B_LESS,C_UNSURE,B_NO,C_ASSOC,,,0,B_EASY,C_NO,C_RARELY,C_RARELY,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK88,Mated,LimitedAssn,M-LimitedAssn,Classification,Classification,0.43,6,B_THREED,A_POOR,C_NO,B_SOMEWHAT,B_SOME,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,D_LIMITED,"A_QQUAL,D_NOISE,L_RACCLARITY",,3,C_MODERATE,B_INFREQ,C_RARELY,A_OFTEN,A_OFTEN,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AXJ,QK89,Nonmated,Assn,N-Assn,Classification,Classification,0.43,6,B_THREED,A_POOR,C_NO,A_YES,A_SIGNIFICANT,C_NO-OVERLAP,A_YES,,A_NO,A_YES,,,A_YES,A_YES,C_UNSURE,C_UNSURE,,,B_NO,C_ASSOC,"A_QQUAL,C_DISTORTION,D_NOISE",,3,B_EASY,B_INFREQ,C_RARELY,B_OCCASIONAL,C_RARELY,C_NO,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK02,Mated,LimitedAssn,M-LimitedAssn,Classification,Classification,0.93,13,B_THREED,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,B_SOMEWHAT,,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,B_NO,D_LIMITED,M_TIME,,1,C_MODERATE,B_INFREQ,B_OCCASIONAL,D_NEVER,D_NEVER,A_ENHANCE,"A mold feature corresponded between Q and K (number 8 on tire section G). RACs in K were not observed as marks in Q even though clarity of Q should have allowed for visualization, if K were the source; however time elapse was unknown. Two relatively large, symmetrical marks in Q were observed on one circumferential groove that were unaccounted for in K. Therefore limited association of class was selected as conclusion given these the selected limitation and observed, unaccounted for differences.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK03,Mated,Assn,M-Assn,Classification,Classification,0.86,12,B_THREED,C_GOOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,B_NO,C_ASSOC,"A_QQUAL,C_DISTORTION,D_NOISE,O_NOORIGQ",,4,C_MODERATE,B_INFREQ,B_OCCASIONAL,D_NEVER,D_NEVER,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK08,Mated,Assn,M-Assn,Classification,Classification,0.64,9,B_THREED,B_MOD,C_NO,B_SOMEWHAT,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE",,2,C_MODERATE,B_INFREQ,B_OCCASIONAL,B_OCCASIONAL,B_OCCASIONAL,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK09,Nonmated,Excl,N-Excl,TE,Definitive,0.94,15,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,B_SOMEWHAT,C_NO,C_MOSTCLEAR,A_YES,,,A_YES,B_NO,B_NO,B_NO,B_LESS,A_YES,B_NO,G_EXC,,,0,B_EASY,C_NO,C_RARELY,D_NEVER,D_NEVER,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK12,Mated,ID,M-ID,TI,Definitive,0.75,12,A_TWOD,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,C_NO,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,A_YES,A_ID,"C_DISTORTION,I_QUALTEST",,2,C_MODERATE,C_NO,D_NEVER,D_NEVER,D_NEVER,A_ENHANCE,"The folded/distorted K1 wasn't a limitation because (unfolded/undistorted) K2 was available to compare design/size/noise treatment. The somewhat poor quality of the test impressions and variability of fine features (RACs) on and between K1 and K2 was more of a limitation. Also, I suspect there was some ""squishing"" and/or movement of the Q substrate during deposition evidenced by a little more misalignment of noise treatment between Q and K than expected for an impression of this clarity.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK15,Nonmated,Excl,N-Excl,TE,Definitive,0.94,15,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,C_NO,B_SOMEWHAT,C_MOSTCLEAR,A_YES,,,A_YES,B_NO,C_UNSURE,C_UNSURE,,,B_NO,G_EXC,,,0,C_MODERATE,B_INFREQ,C_RARELY,C_RARELY,B_OCCASIONAL,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK19,Nonmated,LimitedAssn,N-LimitedAssn,Classification,Classification,0.88,14,A_TWOD,B_MOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,C_NO,B_SOMEWHAT,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,B_NO,A_MORE,A_YES,B_NO,D_LIMITED,M_TIME,,1,B_EASY,C_NO,D_NEVER,D_NEVER,D_NEVER,A_ENHANCE,"Because the K was more worn than the Q, and the differing amount of wear was significant, if the time elapse or actual usage to K tire seizure was known to be short/limited, this may have changed the conclusion to be indications of non-association or an exclusion. Absent this information, the differences in wear/RACs would be reported but the conclusion would remain Association of Class given the information that's actually known.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK20,Nonmated,NonAssn,N-NonAssn,CN,Probable,0.69,11,A_TWOD,B_MOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,A_YES,B_SOMEWHAT,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,B_NO,F_INDNON,"A_QQUAL,D_NOISE",,2,D_DIFFICULT,B_INFREQ,C_RARELY,B_OCCASIONAL,C_RARELY,A_ENHANCE,"There appeared to be more wear in the Q than on the K, in the one possible spot on the K that could be a potential source. Three locations of clear edge detail on the Q were not the same shape/contour as on the K, either. These indications of non-association were not evaluated as exclusionary given the lack of clear detail in the impression mostly due to the light deposit and interference of the substrate texture.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK23,Nonmated,LimitedAssn,N-LimitedAssn,Classification,Classification,0.86,12,B_THREED,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,B_SOMEWHAT,,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,B_NO,D_LIMITED,M_TIME,,1,C_MODERATE,B_INFREQ,B_OCCASIONAL,C_RARELY,B_OCCASIONAL,A_ENHANCE,"One large/gross RAC was observed in the K that was not observed in the Q. Given the clarity of the Q, it is expected it should show if present in the K at the time of deposition. Given the unknown time elapse, this information could not be used for exclusionary purposes and was deemed a limitation to the association.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK28,Nonmated,NonAssn,N-NonAssn,CN,Probable,0.75,12,A_TWOD,B_MOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,B_SOMEWHAT,B_SOMEWHAT,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,C_UNSURE,,,B_NO,F_INDNON,"A_QQUAL,D_NOISE,F_RECOVERY",,3,C_MODERATE,B_INFREQ,C_RARELY,C_RARELY,B_OCCASIONAL,A_ENHANCE,"The wear on the Q appeared more advanced than on the K, but it wasn't evaluated as an exclusionary difference (e.g. it might be explainable) given there was evidence of smearing of the grease/powder during processing of the Q impression on the wood grain of the substrate, obscuring voids that would have otherwise been visible in the Q. However, it was also observed that several small RACs on the K were not observed as marks on the Q in areas of clearer Q detail/visibility. Combined, these observed features were evaluated as indications of a non-association but insufficient to exclude.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK29,Mated,Assn,M-Assn,Classification,Classification,0.86,12,B_THREED,C_GOOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,B_NO,C_ASSOC,"A_QQUAL,L_RACCLARITY",,2,B_EASY,B_INFREQ,B_OCCASIONAL,C_RARELY,C_RARELY,A_ENHANCE,"Only small RACs on K; if K were the Q source, they were too small to be visible on this type of substrate regardless how good the Q detail was.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK30,Mated,ID,M-ID,TI,Definitive,1.00,16,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,C_NO,C_NO,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,A_YES,A_ID,,,0,B_EASY,B_INFREQ,C_RARELY,D_NEVER,B_OCCASIONAL,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK31,Nonmated,LimitedAssn,N-LimitedAssn,Classification,Classification,0.56,9,A_TWOD,B_MOD,C_NO,B_SOMEWHAT,C_NONE,C_NO-OVERLAP,A_YES,A_YES,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,C_UNSURE,,,B_NO,D_LIMITED,"A_QQUAL,D_NOISE,F_RECOVERY",,3,E_VDIFF,B_INFREQ,B_OCCASIONAL,B_OCCASIONAL,C_RARELY,A_ENHANCE,"Class characteristics were  similar between Q and K. However, specific tread element edge shapes in areas of clearer Q detail looked dissimilar to that of the K, even when reproducible on K test imprs. This was true for sipe shapes, too. This difference could be explained by the Q matrix and substrate limitations, but was nonetheless observed during exam. Additionally, multiple small RACs in the K were not observed on the Q in areas of clearer detail on the Q however time elapse was unknown. These differences were evaluated as a limited association rather than indications of non-association, given the fineness of the features combined with the limitations of the impr quality (matrix and substrate issues). In real life reporting, the limitations and observed differences would be reported with the limited association conclusion. However, this was a difficult comparison and I would have consulted a co-worker on it, likely.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK32,Mated,HighAssn,M-HighAssn,CA,Probable,0.69,11,A_TWOD,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,B_SOMEWHAT,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,A_YES,B_HD,"A_QQUAL,I_QUALTEST,K_RACS,L_RACCLARITY",,4,C_MODERATE,B_INFREQ,B_OCCASIONAL,C_RARELY,C_RARELY,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK33,Mated,LimitedAssn,M-LimitedAssn,Classification,Classification,0.64,9,B_THREED,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,A_YES,,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,B_NO,D_LIMITED,"A_QQUAL,D_NOISE,M_TIME",,3,C_MODERATE,B_INFREQ,B_OCCASIONAL,B_OCCASIONAL,B_OCCASIONAL,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK35,Nonmated,Excl,N-Excl,TE,Definitive,0.88,14,A_TWOD,B_MOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,C_NO,B_SOMEWHAT,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,C_UNSURE,,,B_NO,G_EXC,A_QQUAL,,1,C_MODERATE,C_NO,D_NEVER,D_NEVER,D_NEVER,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK39,Mated,ID,M-ID,TI,Definitive,0.75,12,A_TWOD,B_MOD,C_NO,A_YES,B_SOME,C_NO-OVERLAP,C_NO,B_SOMEWHAT,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,A_YES,A_ID,"A_QQUAL,I_QUALTEST",,2,C_MODERATE,B_INFREQ,B_OCCASIONAL,D_NEVER,C_RARELY,A_ENHANCE,"Regarding #7, it is unclear whether there is a small amount of distortion in the Q impression, or a small amount of distortion in the Ks. Likely in the Q but unsure.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK42,Nonmated,Assn,N-Assn,Classification,Classification,0.64,9,B_THREED,B_MOD,C_NO,B_SOMEWHAT,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,,B_SOMECLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,B_NO,C_ASSOC,"A_QQUAL,D_NOISE,I_QUALTEST",,3,C_MODERATE,B_INFREQ,B_OCCASIONAL,B_OCCASIONAL,B_OCCASIONAL,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK45,Nonmated,LimitedAssn,N-LimitedAssn,Classification,Classification,1.00,14,B_THREED,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,C_NO,,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,B_NO,D_UNSURE,C_UNSURE,B_NO,D_LIMITED,M_TIME,,1,D_DIFFICULT,B_INFREQ,B_OCCASIONAL,D_NEVER,D_NEVER,A_ENHANCE,"A difference in wear, specifically in the appearance of the center mold parting line (seam) on the K but not on the Q (where in a Q of this quality it should have been visible if present). Given the lack of info in time elapse, it is unsure whether this is a meaningful or explainable difference. Given this limitation, a limited association of class characteristics conclusion was selected overall.",,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK46,Nonmated,LimitedAssn,N-LimitedAssn,Classification,Classification,0.56,9,A_TWOD,C_GOOD,B_MAYBE,B_SOMEWHAT,B_SOME,C_NO-OVERLAP,B_SOMEWHAT,A_YES,B_SOMECLEAR,A_YES,,,A_YES,C_UNSURE,B_NO,A_YES,,,B_NO,D_LIMITED,"A_QQUAL,B_QQUANT,D_NOISE,I_QUALTEST",,4,D_DIFFICULT,B_INFREQ,B_OCCASIONAL,B_OCCASIONAL,B_OCCASIONAL,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK49,Mated,ID,M-ID,TI,Definitive,1.00,16,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,C_NO,C_NO,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,A_YES,A_ID,,,0,B_EASY,B_INFREQ,C_RARELY,D_NEVER,D_NEVER,A_ENHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
AFC,QK53,Nonmated,Assn,N-Assn,Classification,Classification,1.00,16,A_TWOD,C_GOOD,C_NO,A_YES,C_NONE,C_NO-OVERLAP,C_NO,C_NO,C_MOSTCLEAR,A_YES,,,A_YES,A_YES,B_NO,A_YES,,,B_NO,C_ASSOC,"I_QUALTEST,P_OTHER","This is about as good as a Q as one can get in casework; however, because the tire wasn't particularly worn and didn't have a lot of gross RACs, and the test impressions weren't of great quality, it was difficult to compare exceeding fine RACs at the level that would be needed. One RAC was seen to correspond between Q and only one K test impression (but observed on tire), but it was very faint, indistinct and barely contrasted above the background noise of the impression. Therefore, it wasn't evaluated as sufficient to raise the conclusion to a high degree of association.",2,C_MODERATE,C_NO,C_RARELY,D_NEVER,B_OCCASIONAL,A_ENHANCE,It was helpful to look up an unworn image of the K tire type on the internet prior to comparison to evaluate the marks intended to be on the K tire prior to starting the comparison.,,,,,,,,,,,,,,,,,,,,,,,,
