Participant (AnonID),QKset,QKRset,Mating,Baseline Dataset,Repeat order for Participant,Qamt,Kamt,SD,Factor Pair,Factor Pair Role,Outcome,Conclusion,Excl Basis,Difficulty,Skill Level,WritingType,QVariation,KVariation,Comparable,NeedOriginals,Comment,Limitation Count,L1_QClarity,L2_KClarity,L3_QQuantity,L4_KQuantity,L5_Insuff,L6_NotComp,L7_Unexp,L8_Distortion,IF-A_Abbrev,IF-B_Align,IF-C_Arrange,IF-D_BaselineRel,IF-E_ConnStrokes,IF-F_HeightRel,IF-G_TermStrokes,IF-H_Formation,IF-I_PenLifts,IF-J_PenPres,IF-L_Punc,IF-K_Rhythm,IF-M_Size,IF-N_Skill,IF-O_Slant,IF-P_Spacing,IF-Q_Symbol
AH1C7C,QK868,QK559-QK868,M,Yes,1, QL, K1, S,,,CA,ProbWritten,,Easy,HighSkill,DisconnCursive,MedVar,MedVar,SameText,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK559,QK559-QK868,M,No,2, QL, K1, S,,,CA,ProbWritten,,Med,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK914,QK571-QK914,N,Yes,1, QL, K1, S,,,CN,ProbNot,Holistic,Med,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK571,QK571-QK914,N,No,2, QL, K1, S,,,CN,ProbNot,Details,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK573,QK573,N,Yes,0, QL, K1, D,,,IA,ProbWritten,,Med,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,2,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK577,QK577,N,Yes,0, QL, K5, S,,,FP,Written,,Easy,MedSkill,Mixed,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK588,QK588,N,Yes,0, QS, K1, S,QK432-QK588,QS-Kx-S,CN,ProbNot,Details,Easy,LowSkill,DisconnCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK590,QK590,M,Yes,0, QL, K5, D,,,TP,Written,,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK595,QK595,N,Yes,0, QL, K5, D,,,TN,NotWritten,Details,Med,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK617,QK617,N,Yes,0, QL, K1, S,,,CN,ProbNot,Details,Easy,MedSkill,DisconnPrint,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK618,QK618,N,Yes,0, QL, K1, D,,,CN,ProbNot,Details,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK624,QK624,N,Yes,0, QS, K3, S,QK507-QK624,Qx-K3-S,TN,NotWritten,Details,Easy,HighSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK627,QK627,N,Yes,0, QL, K1, S,,,CN,ProbNot,Details,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
AH1C7C,QK635,QK635,N,Yes,0, QL, K3, D,QK548-QK635,QL-K3-x,FP,Written,,Easy,HighSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK637,QK637,N,Yes,0, QL, K3, D,QK637-QK668,Qx-K3-D,FP,Written,,Med,LowSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK639,QK639,N,Yes,0, QL, K1, S,,,CN,ProbNot,Details,Easy,LowSkill,Mixed,MedVar,MedVar,CommonWords,No,,2,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK932,QK640-QK932,M,Yes,1, QL, K3, S,QK521-QK640,QL-K3-x,FN,NotWritten,,Med,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,No,No,No,No,Yes,No,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AH1C7C,QK640,QK640-QK932,M,No,2, QL, K3, S,QK640-QK932,QL-K3-x,NC,NoConc,Details,Med,HighSkill,ConnectedCursive,LimitedVar,LimitedVar,CommonWords,,,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
AH1C7C,QK645,QK645,M,Yes,0, QL, K3, D,QK402-QK645,Qx-K3-D,TP,Written,,Easy,HighSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK655,QK655,N,Yes,0, QL, K3, S,,,TN,NotWritten,Details,Easy,MedSkill,ConnectedCursive,MedVar,MedVar,SameText,,,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK658,QK658,M,Yes,0, QS, K1, D,QK658-QK904,QS-Kx-D,IN,ProbNot,Details,Easy,LowSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK704,QK704,N,Yes,0, QL, K3, S,,,FP,Written,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK706,QK706,M,Yes,0, QL, K5, D,QK706-QK708,QL-Kx-D,TP,Written,,Med,HighSkill,Mixed,MedVar,MedVar,SameText,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK717,QK717,N,Yes,0, QL, K5, S,,,CN,ProbNot,Details,Med,HighSkill,DisconnCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
AH1C7C,QK720,QK720,M,Yes,0, QL, K5, S,QK354-QK720,QL-Kx-S,TP,Written,,Med,LowSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK730,QK730,N,Yes,0, QL, K5, D,QK730-QK851,QL-Kx-D,FP,Written,,Easy,HighSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK734,QK734,N,Yes,0, QL, K3, S,,,TN,NotWritten,Details,Diff,HighSkill,DisconnPrint,MedVar,MedVar,SameText,,,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
AH1C7C,QK737,QK737,M,Yes,0, QL, K5, S,,,TP,Written,,Med,MedSkill,DisconnCursive,MedVar,MedVar,SameText,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
AH1C7C,QK740,QK740,M,Yes,0, QL, K1, S,QK739-QK740,QL-Kx-S,CA,ProbWritten,,Med,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK742,QK742,M,Yes,0, QS, K3, D,QK705-QK742,QS-K3-x,FN,NotWritten,Details,Easy,HighSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK743,QK743,N,Yes,0, QL, K3, S,,,TN,NotWritten,Details,Easy,HighSkill,DisconnCursive,MedVar,MedVar,SameText,,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK757,QK757,N,Yes,0, QS, K3, S,QK757-QK781,QS-K3-x,TN,NotWritten,Details,Med,LowSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK766,QK766,M,Yes,0, QL, K3, S,,,FN,NotWritten,Details,Med,HighSkill,ConnectedCursive,MedVar,MedVar,SameText,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK768,QK768,M,Yes,0, QL, K1, S,,,IN,ProbNot,Details,Med,MedSkill,DisconnCursive,MedVar,MedVar,SameText,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK777,QK777,M,Yes,0, QL, K3, D,,,TP,Written,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK791,QK791,N,Yes,0, QS, K3, D,QK665-QK791,Qx-K3-D,FP,Written,,Med,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK794,QK794,N,Yes,0, QL, K3, D,,,TN,NotWritten,Details,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK801,QK801,M,Yes,0, QL, K5, S,,,TP,Written,,Easy,HighSkill,DisconnCursive,MedVar,MedVar,CommonWords,,,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK807,QK807,M,Yes,0, QS, K1, S,QK806-QK807,QS-Kx-S,CA,ProbWritten,,Med,MedSkill,DisconnCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK815,QK815,N,Yes,0, QL, K1, D,,,CN,ProbNot,Details,Med,HighSkill,ConnectedCursive,MedVar,MedVar,SameText,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
AH1C7C,QK836,QK836,N,Yes,0, QL, K3, S,QK755-QK836,QL-K3-x,TN,NotWritten,Details,Easy,LowSkill,DisconnCursive,MedVar,MedVar,SameText,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
AH1C7C,QK838,QK838,N,Yes,0, QA, K1, D,,,NC,NoConc,,Med,HighSkill,ConnectedCursive,LimitedVar,LimitedVar,CommonWords,,,3,Yes,No,No,Yes,No,Yes,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AH1C7C,QK844,QK844,N,Yes,0, QL, K5, S,,,TN,NotWritten,Holistic,Easy,LowSkill,ConnectedPrint,MedVar,MedVar,CommonWords,,,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK862,QK862,N,Yes,0, QL, K1, D,QK748-QK862,QL-Kx-D,IA,ProbWritten,,Med,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
AH1C7C,QK863,QK863,M,Yes,0, QL, K1, D,,,CA,ProbWritten,,Easy,HighSkill,ConnectedCursive,MedVar,MedVar,CommonWords,No,,1,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
