AnonID,QKRset,QKset,Mating,RepeatOrder (AnonID),1_Value,Conclusion,Outcome,Design,Mold,Size,Wear,NumRACs,7_RACs,Difficulty,9_Software,Photos,12_Typical,13_Orientation,14_Comment,QualityLimit,QuantityAreaLimit,DistortionLimit,SubstrateLimit,QimageryLimit,KimageryLimit,KtransparenciesLimit,RACsLimit,RACclarityLimit,LimitCount
AF1131,QK037-QK210,QK037,Mated,1st,1A_Value,HighAssn,M-HighAssn,SameDesign,SameMold,YesSize,Wear same,3,"0264,0888|0314,0879|0556,0149|",Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaLimit,DistortionOK,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsLimit,RACclarityOK,3
AF1131,QK037-QK210,QK210,Mated,2nd,1A_Value,HighAssn,M-HighAssn,SameDesign,SameMold,YesSize,Wear same,4,"0322,0332|0261,0879|0314,0874|0325,0887|",Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK039-QK141,QK039,Nonmated,1st,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,YesSize,Wear different,0,NULL,VDifficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK039-QK141,QK141,Nonmated,2nd,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK055,QK055,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,UnsureSize,Wear unsure,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionLimit,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK057,QK057,Mated,0,1A_Value,Assn,M-Assn,SameDesign,SameMold,YesSize,Wear same,2,"0224,0412|0259,0211|",Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionLimit,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK058,QK058,Nonmated,0,1A_Value,Excl,N-Excl,DiffDesign,NULL,NULL,NULL,0,NULL,VEasy,9C_NoSW,PhotosUsed,12C_NotTypical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK062,QK062,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear same,0,,Moderate,9A_EnhanceSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaLimit,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,2
AF1131,QK067,QK067,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionLimit,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK068,QK068,Nonmated,0,1A_Value,HighAssn,N-HighAssn,SameDesign,SameMold,YesSize,Wear same,1,"0620,0264|",Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsLimit,RACclarityOK,1
AF1131,QK080,QK080,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,SameMold,NoSize,Wear unsure,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityLimit,1
AF1131,QK081,QK081,Nonmated,0,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,YesSize,Wear different,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaLimit,DistortionLimit,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,4
AF1131,QK087,QK087,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,"Possible RACs in questioned impression (upper toe area). I would like to examine the plastic substrate. If there were no scratches, I would lean towards non- association",QualityLimit,QuantityAreaLimit,DistortionOK,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,3
AF1131,QK091,QK091,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,SameMold,YesSize,Wear different,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,135CW,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK095,QK095,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransparenciesLimit,RACsOK,RACclarityOK,2
AF1131,QK105,QK105,Nonmated,0,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,UnsureSize,Wear different,0,NULL,VDifficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaLimit,DistortionLimit,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,4
AF1131,QK112,QK112,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,SameMold,YesSize,Wear different,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK114,QK114,Mated,0,1A_Value,HighAssn,M-HighAssn,SameDesign,SameMold,YesSize,Wear same,4,"0521,0223|0521,0223|0516,0208|0235,0193|",Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityLimit,1
AF1131,QK118,QK118,Nonmated,0,1A_Value,Excl,N-Excl,DiffDesign,NULL,NULL,NULL,0,NULL,VEasy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK122,QK122,Mated,0,1A_Value,Assn,M-Assn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,"The questioned impression is not the the image loaded in question 13, there is an error",QualityLimit,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK131,QK131,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,DiffMold,NoSize,Wear different,0,NULL,Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK132,QK132,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,SameMold,YesSize,Wear different,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK134,QK134,Mated,0,1A_Value,Inc,Inc,SameDesign,SameMold,YesSize,Wear same,0,NULL,VDifficult,9C_NoSW,PhotosUsed,12B_Unusual,UNK_A,The top of the toe area does not correspond. I would need to see more of the substrate on the wood or take additional test impressions to try to recreate the distortion.,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransparenciesLimit,RACsOK,RACclarityOK,1
AF1131,QK136,QK136,Nonmated,0,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,YesSize,Wear different,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryLimit,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK137,QK137,Nonmated,0,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,VDifficult,9C_NoSW,PhotosUsed,12A_Typical,180CCW,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK139,QK139,Mated,0,1A_Value,HighAssn,M-HighAssn,SameDesign,SameMold,UnsureSize,Wear unsure,2,"0262,0214|0573,0216|",VEasy,9C_NoSW,PhotosUsed,12A_Typical,67.5CCW,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK140,QK140,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,DiffMold,NoSize,Wear unsure,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK143-QK312,QK143,Mated,1st,1A_Value,ID,M-ID,SameDesign,SameMold,YesSize,Wear same,7,"0580,0156|0567,0132|0540,0226|0548,0214|0635,0221|0597,0138|0554,0098|",Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK143-QK312,QK312,Mated,2nd,1A_Value,ID,M-ID,SameDesign,SameMold,YesSize,Wear unsure,5,"0546,0224|0634,0216|0603,0217|0575,0150|0563,0127|",VEasy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK145,QK145,Mated,0,1A_Value,HighAssn,M-HighAssn,SameDesign,SameMold,YesSize,Wear same,7,"0407,1085|0394,1106|0404,1135|0378,1155|0390,1186|0276,1125|0308,1166|",Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,2
AF1131,QK147,QK147,Mated,0,1A_Value,Assn,M-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK148,QK148,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,2
AF1131,QK155,QK155,Mated,0,1A_Value,ID,M-ID,SameDesign,SameMold,YesSize,Wear same,4,"0350,0340|0328,0700|0382,0463|0493,0276|",VEasy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK163,QK163,Mated,0,1A_Value,ID,M-ID,SameDesign,SameMold,YesSize,Wear same,3,"0498,1132|0461,1074|0484,0760|",Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK164,QK164,Mated,0,1A_Value,HighAssn,M-HighAssn,SameDesign,SameMold,YesSize,Wear same,2,"0436,0248|0436,0249|",Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,Limited by other footwear impression that came afterward.,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsLimit,RACclarityOK,1
AF1131,QK165,QK165,Mated,0,1A_Value,Assn,M-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsLimit,RACclarityOK,1
AF1131,QK166,QK166,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,SameMold,UnsureSize,Wear different,0,NULL,Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK168-QK301,QK301,Mated,1st,1A_Value,ID,M-ID,SameDesign,SameMold,YesSize,Wear same,4,"0472,0384|0470,0217|0266,0461|0542,0538|",Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaLimit,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK168-QK301,QK168,Mated,2nd,1A_Value,Assn,M-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK174,QK174,Mated,0,1A_Value,ID,M-ID,SameDesign,SameMold,YesSize,Wear same,6,"0534,0434|0274,1003|0265,1030|0299,1067|0344,1103|0376,1148|",Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK176,QK176,Mated,0,1A_Value,HighAssn,M-HighAssn,SameDesign,SameMold,YesSize,Wear same,2,"0532,0597|0624,0405|",Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK177,QK177,Mated,0,1A_Value,NonAssn,M-NonAssn,SameDesign,DiffMold,UnsureSize,Wear unsure,0,NULL,Difficult,9C_NoSW,PhotosUsed,12B_Unusual,UNK_A,QA was out of focus and made the comparison limited. Width of Questioned more narrow than known shoe.,QualityLimit,QuantityAreaLimit,DistortionLimit,SubstrateOK,QimageryLimit,KimageryOK,KtransOK,RACsOK,RACclarityOK,4
AF1131,QK181,QK181,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK182,QK182,Mated,0,1A_Value,Excl,M-Excl,SameDesign,UnsureMold,UnsureSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,This conclusion is based on the criteria that the shoes were collected close in time to the crime.,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK183,QK183,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,SameMold,NoSize,Wear unsure,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,I am assuming this Clothing/Material is some sort of a bath mat and was on the floor rather than a victim being stomped.,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryLimit,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK184,QK184,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,180CW,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK195,QK195,Mated,0,1A_Value,Assn,M-Assn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionLimit,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,2
AF1131,QK196-QK300,QK300,Nonmated,1st,1A_Value,Excl,N-Excl,SameDesign,SameMold,NoSize,Wear different,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,Different RACs in known and unknown,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityLimit,1
AF1131,QK196-QK300,QK196,Nonmated,2nd,1A_Value,Excl,N-Excl,SameDesign,SameMold,YesSize,Wear different,0,NULL,Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK211,QK211,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK212,QK212,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,UnsureSize,Wear unsure,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK215,QK215,Nonmated,0,1A_Value,NonAssn,N-NonAssn,UnsureDesign,NULL,NULL,NULL,0,NULL,Difficult,9C_NoSW,PhotosUsed,12B_Unusual,UNK_A,NULL,QualityOK,QuantityAreaLimit,DistortionOK,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,2
AF1131,QK217,QK217,Mated,0,1A_Value,Excl,M-Excl,SameDesign,SameMold,YesSize,Wear different,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,1
AF1131,QK221-QK222,QK221,Nonmated,1st,1A_Value,Excl,N-Excl,SameDesign,SameMold,YesSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK221-QK222,QK222,Nonmated,2nd,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK223,QK223,Nonmated,0,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,YesSize,Wear different,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK224,QK224,Nonmated,0,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,NoSize,Wear same,0,NULL,Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,I would like more information on the evidence. Was the newspaper on carpet or another pliable substrate? This might change my conclusions.,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
AF1131,QK225,QK225,Mated,0,1A_Value,Assn,M-Assn,SameDesign,SameMold,YesSize,Wear same,1,"0484,0370|",Difficult,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,2
AF1131,QK226,QK226,Nonmated,0,1A_Value,Excl,N-Excl,SameDesign,SameMold,YesSize,Wear different,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateLimit,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,2
AF1131,QK228-QK306,QK306,Nonmated,1st,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,YesSize,Wear unsure,0,NULL,VDifficult,9C_NoSW,PhotosUsed,12B_Unusual,UNK_A,NULL,QualityLimit,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransparenciesLimit,RACsOK,RACclarityOK,2
AF1131,QK228-QK306,QK228,Nonmated,2nd,1A_Value,NonAssn,N-NonAssn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,I would likely report this out asinconclusive and ask for the shoes to be submitted. There is a Large RAC in the heel area that does not shoe up in the questioned impression. This might be due to it being a different shoe or that the dust filled in the RAC. I would like to see the depth of the RAC and take additional test impressions.,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransparenciesLimit,RACsOK,RACclarityOK,1
AF1131,QK234,QK234,Nonmated,0,1A_Value,Assn,N-Assn,SameDesign,SameMold,YesSize,Wear same,0,NULL,Moderate,9C_NoSW,PhotosUsed,12A_Typical,180CCW,NULL,QualityLimit,QuantityAreaLimit,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,2
AF1131,QK237,QK237,Mated,0,1A_Value,ID,M-ID,SameDesign,SameMold,YesSize,Wear same,6,"0538,1046|0468,0893|0435,0656|0428,0470|0286,0417|0448,0599|",Easy,9C_NoSW,PhotosUsed,12A_Typical,UNK_A,NULL,QualityOK,QuantityAreaOK,DistortionOK,SubstrateOK,QimageryOK,KimageryOK,KtransOK,RACsOK,RACclarityOK,0
