AnonID,Cset,Mating,Phase,Q01_Q1value,Q02_Q2value,Q03_Caliber,Q04_Twist,Q05_LGnum,Q06_LGwidth,Q07_Rifling,Q08_Conclusion,Q09_Difficulty,Q10_Ammo,Q11_CircumQ1,Q12_CircumQ2,Q13_AmtRiflingQ1,Q14_AmtRiflingQ2
BATVZ,QQ5567,Nonmated,Primary (Baseline),Value,Value,Same,Same,CantTell,Same,Same,Insuff,Norm,AmmoInc,No,No,66-100%,33-66%
BATVZ,QQ5812,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BATVZ,QQ5882,Nonmated,Primary (Baseline),Value,Value,Diff,Same,Same,Diff,Same,Excl,Easy,AmmoDiff,Yes,No,66-100%,66-100%
BATVZ,QQ5935,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BATVZ,QQ5967,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanID,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BATVZ,QQ5984,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BATVZ,QQ6132,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Diff,Same,Excl,Easy,AmmoDiff,Yes,Yes,66-100%,66-100%
BATVZ,QQ6754,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoProb,Yes,Yes,66-100%,66-100%
BATVZ,QQ6964,Mated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoDiff,No,Yes,66-100%,66-100%
BATVZ,QQ7306,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,LeanID,Norm,AmmoInc,Yes,No,66-100%,33-66%
BATVZ,QQ7383,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Diff,Same,Excl,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BATVZ,QQ7426,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,LeanExcl,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BATVZ,QQ8021,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoSame,Yes,No,66-100%,66-100%
BATVZ,QQ8054,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoProb,No,No,66-100%,66-100%
BATVZ,QQ8101,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Diff,Same,Excl,Easy,AmmoPrNo,Yes,No,66-100%,66-100%
BATVZ,QQ8227,Mated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoDiff,No,No,66-100%,66-100%
BATVZ,QQ8231,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BATVZ,QQ8258,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Diff,Same,Excl,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BATVZ,QQ8295,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BATVZ,QQ8410,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoProb,Yes,No,66-100%,66-100%
BATVZ,QQ8416,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoInc,Yes,No,66-100%,33-66%
BATVZ,QQ8421,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Diff,Same,Excl,Norm,AmmoDiff,Yes,No,66-100%,66-100%
BATVZ,QQ8590,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BATVZ,QQ8594,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BBEAR,QQ5065,Nonmated,Supplemental,Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoProb,No,No,66-100%,66-100%
BBEAR,QQ5443,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Diff,Same,Excl,Easy,AmmoDiff,No,No,66-100%,33-66%
BBEAR,QQ5665,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoProb,Yes,na,na,na
BBEAR,QQ5719,Mated,Supplemental,Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoDiff,No,No,66-100%,66-100%
BBEAR,QQ5776,Nonmated,Supplemental,Value,Value,Same,Same,CantTell,Same,Same,Insuff,Diff,AmmoProb,Yes,No,66-100%,66-100%
BBEAR,QQ5973,Mated,Supplemental,Value,Value,CantTell,Same,CantTell,Same,Same,LeanExcl,Norm,AmmoPrNo,No,No,33-66%,66-100%
BBEAR,QQ5989,Nonmated,Primary (Baseline),Value,Value,Same,Same,CantTell,Same,Same,LeanExcl,Norm,AmmoProb,Yes,No,66-100%,66-100%
BBEAR,QQ6024,Nonmated,Primary (Baseline),Value,Value,Same,Same,Diff,Diff,Same,Excl,VEasy,AmmoSame,Yes,Yes,66-100%,66-100%
BBEAR,QQ6208,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Diff,Same,Excl,Norm,AmmoProb,Yes,No,66-100%,33-66%
BBEAR,QQ6300,Mated,Primary (Baseline),Value,Value,Same,Same,CantTell,Same,Same,ID,Diff,AmmoDiff,No,na,na,na
BBEAR,QQ6380,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoSame,Yes,na,na,na
BBEAR,QQ6382,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Diff,AmmoProb,Yes,No,66-100%,33-66%
BBEAR,QQ6411,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoDiff,Yes,na,na,na
BBEAR,QQ6471,Mated,Primary (Baseline),Value,Value,Same,Same,CantTell,Same,Same,ID,Diff,AmmoSame,No,na,na,na
BBEAR,QQ6532,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BBEAR,QQ6590,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Norm,AmmoProb,Yes,Yes,66-100%,66-100%
BBEAR,QQ6714,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,LeanExcl,Norm,AmmoDiff,No,No,66-100%,66-100%
BBEAR,QQ6730,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Diff,Same,Excl,Easy,AmmoDiff,No,No,66-100%,66-100%
BBEAR,QQ6802,Nonmated,Supplemental,Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,AmmoPrNo,No,No,33-66%,33-66%
BBEAR,QQ6843,Mated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoDiff,No,No,33-66%,66-100%
BBEAR,QQ7004,Nonmated,Primary (Baseline),Value,Value,Same,Same,CantTell,Same,Same,Insuff,Norm,AmmoProb,No,No,33-66%,33-66%
BBEAR,QQ7016,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoProb,Yes,No,66-100%,66-100%
BBEAR,QQ7032,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Norm,AmmoPrNo,Yes,Yes,66-100%,66-100%
BBEAR,QQ7161,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoProb,Yes,Yes,66-100%,66-100%
BBEAR,QQ7191,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoPrNo,No,No,33-66%,33-66%
BBEAR,QQ7244,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Diff,Same,Excl,Easy,AmmoDiff,No,No,66-100%,66-100%
BBEAR,QQ7284,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoPrNo,Yes,No,66-100%,66-100%
BBEAR,QQ7585,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BBEAR,QQ7626,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Easy,AmmoProb,Yes,Yes,66-100%,66-100%
BBEAR,QQ7645,Mated,Supplemental,Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoPrNo,Yes,No,66-100%,66-100%
BBEAR,QQ7723,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Easy,AmmoProb,Yes,Yes,66-100%,66-100%
BBEAR,QQ8172,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Norm,AmmoDiff,No,Yes,66-100%,66-100%
BBEAR,QQ8307,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,AmmoInc,No,No,33-66%,33-66%
BBEAR,QQ8503,Nonmated,Primary (Baseline),Value,Value,Diff,Same,Same,Diff,Same,Excl,VEasy,AmmoDiff,Yes,Yes,66-100%,66-100%
BBEAR,QQ8633,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Easy,AmmoSame,Yes,Yes,66-100%,66-100%
BBEAR,QQ8923,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,Excl,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ5036,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Norm,AmmoSame,Yes,No,66-100%,66-100%
BDMJL,QQ5039,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,CantTell,Same,Excl,Norm,AmmoInc,Yes,No,66-100%,66-100%
BDMJL,QQ5062,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,LeanExcl,Diff,AmmoPrNo,No,Yes,66-100%,66-100%
BDMJL,QQ5169,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,Excl,Diff,AmmoDiff,Yes,No,66-100%,66-100%
BDMJL,QQ5236,Mated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,ID,Norm,AmmoSame,No,No,33-66%,33-66%
BDMJL,QQ5283,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ5473,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Diff,Same,Excl,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ5480,Mated,Primary (2nd assignments),Value,Value,Same,Same,Same,Same,Same,Excl,Norm,AmmoSame,Yes,No,66-100%,66-100%
BDMJL,QQ5480,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Diff,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ5488,Nonmated,Primary (Baseline),Value,Value,Same,Same,Diff,Diff,Same,Excl,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ5513,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Diff,Same,Excl,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ5552,Nonmated,Primary (2nd assignments),Value,Value,Same,Same,Same,CantTell,Same,Excl,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ5552,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Norm,AmmoPrNo,Yes,Yes,66-100%,66-100%
BDMJL,QQ5555,Nonmated,Primary (Baseline),Value,Value,Same,Same,CantTell,CantTell,Same,Excl,Norm,AmmoInc,Yes,Yes,66-100%,66-100%
BDMJL,QQ5558,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,CantTell,Same,Excl,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ5599,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ5680,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,LeanExcl,Diff,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ5702,Mated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,Insuff,VDiff,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ5746,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ5930,Mated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,VDiff,AmmoInc,Yes,No,66-100%,66-100%
BDMJL,QQ6009,Mated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,Insuff,VDiff,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ6100,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Diff,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ6168,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Diff,Diff,Same,Excl,Norm,AmmoDiff,No,No,66-100%,66-100%
BDMJL,QQ6224,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Diff,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ6239,Nonmated,Primary (2nd assignments),Value,Value,CantTell,Same,CantTell,CantTell,Same,Insuff,Diff,AmmoProb,No,No,66-100%,66-100%
BDMJL,QQ6239,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,CantTell,Same,Insuff,Diff,AmmoPrNo,No,No,66-100%,66-100%
BDMJL,QQ6285,Nonmated,Primary (Baseline),Value,Value,Diff,Same,Diff,Diff,Same,Excl,Norm,AmmoPrNo,Yes,Yes,66-100%,66-100%
BDMJL,QQ6536,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,Insuff,VDiff,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ6605,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,CantTell,Same,Insuff,Diff,AmmoDiff,Yes,No,66-100%,66-100%
BDMJL,QQ6686,Mated,Primary (2nd assignments),Value,Value,Same,Same,Same,CantTell,Same,ID,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ6686,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,VDiff,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ6708,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Diff,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ6832,Mated,Primary (2nd assignments),Value,Value,Same,Same,Same,Same,Same,Insuff,VDiff,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ6832,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanID,VDiff,AmmoProb,Yes,Yes,66-100%,66-100%
BDMJL,QQ6854,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ6895,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoInc,Yes,No,66-100%,66-100%
BDMJL,QQ6899,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,Insuff,VDiff,AmmoInc,Yes,No,66-100%,66-100%
BDMJL,QQ7144,Mated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,ID,Norm,AmmoSame,No,No,66-100%,66-100%
BDMJL,QQ7189,Nonmated,Primary (Baseline),Value,Value,Diff,Same,Same,Same,Same,Excl,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ7199,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Diff,Same,Excl,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ7265,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,CantTell,Same,Excl,Easy,AmmoInc,Yes,Yes,66-100%,66-100%
BDMJL,QQ7291,Mated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,ID,Norm,AmmoDiff,No,No,33-66%,33-66%
BDMJL,QQ7577,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Diff,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ7635,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,CantTell,Same,Excl,Norm,AmmoSame,No,No,66-100%,66-100%
BDMJL,QQ7639,Mated,Primary (Baseline),Value,Value,Same,Same,Same,CantTell,Same,Excl,Norm,AmmoDiff,Yes,Yes,66-100%,66-100%
BDMJL,QQ7666,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,LeanExcl,Diff,AmmoSame,Yes,No,66-100%,66-100%
BDMJL,QQ7869,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ8039,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,CantTell,Same,Insuff,VDiff,AmmoDiff,Yes,No,66-100%,66-100%
BDMJL,QQ8126,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,CantTell,Same,Excl,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BDMJL,QQ8218,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BETXR,QQ5062,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Diff,AmmoSame,No,Yes,66-100%,66-100%
BETXR,QQ5088,Nonmated,Primary (Baseline),Value,Value,Same,Same,CantTell,Same,Same,LeanID,Norm,AmmoSame,No,No,66-100%,66-100%
BETXR,QQ5169,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Easy,AmmoDiff,Yes,No,66-100%,66-100%
BETXR,QQ5231,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,CantTell,Same,Excl,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BETXR,QQ5233,Nonmated,Primary (Baseline),Value,Value,Diff,Same,Diff,Diff,Same,Excl,VEasy,AmmoDiff,Yes,No,66-100%,66-100%
BETXR,QQ5236,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanID,Norm,AmmoSame,No,No,66-100%,66-100%
BETXR,QQ5273,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Diff,Diff,Same,Excl,VEasy,AmmoProb,Yes,Yes,66-100%,66-100%
BETXR,QQ5366,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Diff,Same,Excl,Easy,AmmoDiff,Yes,No,66-100%,66-100%
BETXR,QQ5421,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Easy,AmmoSame,Yes,Yes,66-100%,66-100%
BETXR,QQ5473,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,CantTell,Same,Insuff,Diff,AmmoDiff,Yes,Yes,66-100%,66-100%
BETXR,QQ5488,Nonmated,Primary (Baseline),Value,Value,Same,Same,Diff,Diff,Same,Excl,VEasy,AmmoProb,Yes,Yes,66-100%,66-100%
BETXR,QQ5542,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Excl,Norm,AmmoSame,Yes,No,66-100%,66-100%
BETXR,QQ5702,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoDiff,No,No,66-100%,66-100%
BETXR,QQ5781,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Diff,Same,Excl,Diff,AmmoDiff,Yes,Yes,66-100%,66-100%
BETXR,QQ5930,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Norm,AmmoSame,Yes,No,66-100%,66-100%
BETXR,QQ6006,Mated,Primary (Baseline),Value,Value,Same,Same,Same,CantTell,Same,LeanID,Diff,AmmoDiff,No,Yes,66-100%,66-100%
BETXR,QQ6042,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,CantTell,Same,LeanExcl,Diff,AmmoDiff,Yes,Yes,66-100%,66-100%
BETXR,QQ6168,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Diff,Diff,Same,Excl,VEasy,AmmoDiff,Yes,Yes,66-100%,66-100%
BETXR,QQ6224,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,Insuff,Diff,AmmoSame,Yes,Yes,66-100%,66-100%
BETXR,QQ6285,Nonmated,Primary (Baseline),Value,Value,Diff,Same,Diff,Diff,Same,Excl,VEasy,AmmoDiff,Yes,Yes,66-100%,66-100%
BETXR,QQ6508,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Diff,AmmoSame,Yes,No,66-100%,66-100%
BETXR,QQ6708,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanID,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BETXR,QQ6895,Mated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,ID,Norm,AmmoSame,Yes,No,66-100%,66-100%
BETXR,QQ6899,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,Same,Same,LeanExcl,Diff,AmmoSame,Yes,No,66-100%,66-100%
BETXR,QQ6927,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Diff,AmmoDiff,Yes,Yes,66-100%,66-100%
BETXR,QQ7008,Nonmated,Primary (Baseline),Value,Value,Same,Same,Diff,Diff,Same,Excl,VEasy,AmmoDiff,Yes,Yes,66-100%,66-100%
BETXR,QQ7010,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanID,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BETXR,QQ7144,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,ID,Norm,AmmoSame,No,No,66-100%,66-100%
BETXR,QQ7189,Nonmated,Primary (Baseline),Value,Value,Diff,Same,Same,CantTell,Same,Excl,VEasy,AmmoDiff,No,No,66-100%,66-100%
BETXR,QQ7199,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,Diff,Same,Excl,VEasy,AmmoDiff,Yes,Yes,66-100%,66-100%
BETXR,QQ7261,Nonmated,Primary (Baseline),Value,Value,Same,Same,CantTell,CantTell,Same,Insuff,Diff,AmmoPrNo,No,Yes,66-100%,66-100%
BETXR,QQ7291,Mated,Primary (Baseline),Value,Value,CantTell,Same,CantTell,CantTell,Same,LeanExcl,Diff,AmmoDiff,No,No,66-100%,66-100%
BETXR,QQ7577,Mated,Primary (Baseline),Value,Value,Same,Same,Same,Same,Same,LeanExcl,Diff,AmmoDiff,Yes,Yes,66-100%,66-100%
BETXR,QQ7666,Nonmated,Primary (Baseline),Value,Value,CantTell,Same,Same,Same,Same,LeanExcl,Diff,AmmoDiff,Yes,No,66-100%,66-100%
BETXR,QQ7741,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,CantTell,Same,Excl,Easy,AmmoSame,Yes,Yes,66-100%,66-100%
BETXR,QQ8126,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,CantTell,Same,Insuff,Norm,AmmoSame,Yes,Yes,66-100%,66-100%
BETXR,QQ8331,Nonmated,Primary (Baseline),Value,Value,Same,Same,Same,CantTell,Same,Excl,Norm,AmmoSame,No,No,66-100%,66-100%
