AnonID,Cset,Mating,Phase,K01_Q1value,K03_Caliber,K04_Twist,K05_LGnum,K06_LGwidth,K07_Rifling,K08_Conclusion,K09_Difficulty,K10_Comparability,K11_CircumQ1,K12_AmtRiflingQ1
BATVZ,KQ4638,Nonmated,Primary (Baseline),Value,Same,Same,CantTell,Diff,Same,Excl,Norm,ModRepro,No,66-100%
BATVZ,KQ4708,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanID,Norm,ModRepro,No,66-100%
BATVZ,KQ4800,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,ModRepro,Yes,66-100%
BATVZ,KQ4811,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,No,66-100%
BBEAR,KQ1044,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Diff,ModRepro,Yes,66-100%
BBEAR,KQ1337,Nonmated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,Insuff,Diff,LowRepro,Yes,66-100%
BBEAR,KQ1556,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,LowRepro,No,66-100%
BBEAR,KQ1664,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,ModRepro,Yes,66-100%
BBEAR,KQ1743,Mated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,ID,Diff,ModRepro,No,33-66%
BBEAR,KQ1820,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,Yes,66-100%
BBEAR,KQ2067,Mated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,LowRepro,No,01-33%
BBEAR,KQ2091,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,LowRepro,Yes,66-100%
BBEAR,KQ2138,Nonmated,Supplemental,Value,Same,Same,Same,Same,Same,Insuff,Norm,LowRepro,No,33-66%
BBEAR,KQ2235,Mated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,LeanID,Diff,LowRepro,Yes,66-100%
BBEAR,KQ2267,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,No,66-100%
BBEAR,KQ2297,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,LeanExcl,Norm,HiRepro,No,66-100%
BBEAR,KQ2525,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,LowRepro,Yes,66-100%
BBEAR,KQ2646,Nonmated,Primary (Baseline),Value,Same,Same,Same,Diff,Same,Excl,Easy,HiRepro,Yes,66-100%
BBEAR,KQ2796,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Diff,Same,Excl,VEasy,HiRepro,No,66-100%
BBEAR,KQ2808,Nonmated,Primary (Baseline),Value,Same,Same,Diff,Diff,Same,Excl,VEasy,ModRepro,Yes,66-100%
BBEAR,KQ2828,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanID,Diff,LowRepro,Yes,66-100%
BBEAR,KQ2948,Nonmated,Supplemental,Value,Same,Same,Same,Same,Same,LeanExcl,Norm,ModRepro,Yes,66-100%
BBEAR,KQ2954,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Excl,Norm,HiRepro,No,66-100%
BBEAR,KQ3038,Mated,Supplemental,Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,Yes,66-100%
BBEAR,KQ3379,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,ModRepro,No,33-66%
BBEAR,KQ3415,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BBEAR,KQ3620,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BBEAR,KQ3699,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,ModRepro,No,66-100%
BBEAR,KQ3776,Mated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,ID,Diff,ModRepro,No,33-66%
BBEAR,KQ3813,Nonmated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,Insuff,Norm,LowRepro,Yes,66-100%
BBEAR,KQ3823,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,ModRepro,No,33-66%
BBEAR,KQ3885,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,Yes,66-100%
BBEAR,KQ3894,Nonmated,Primary (Baseline),Value,Same,Same,CantTell,Same,Same,LeanExcl,Norm,ModRepro,No,33-66%
BBEAR,KQ3974,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BBEAR,KQ4238,Nonmated,Supplemental,Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,ModRepro,No,66-100%
BBEAR,KQ4304,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BBEAR,KQ4442,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,ModRepro,No,66-100%
BBEAR,KQ4523,Nonmated,Supplemental,Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,LowRepro,No,66-100%
BBEAR,KQ4599,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,LowRepro,No,66-100%
BBEAR,KQ4894,Nonmated,Supplemental,Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,LowRepro,No,33-66%
BDMJL,KQ1115,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BDMJL,KQ1148,Nonmated,Primary (2nd assignments),Value,Same,Same,Same,Same,Same,Excl,Diff,ModRepro,Yes,66-100%
BDMJL,KQ1148,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,HiRepro,Yes,66-100%
BDMJL,KQ1199,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ1224,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BDMJL,KQ1292,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BDMJL,KQ1375,Nonmated,Primary (Baseline),Value,Same,Same,CantTell,CantTell,Same,Excl,Norm,LowRepro,No,66-100%
BDMJL,KQ1386,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,LowRepro,Yes,66-100%
BDMJL,KQ1504,Mated,Primary (2nd assignments),Value,CantTell,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BDMJL,KQ1504,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,Yes,66-100%
BDMJL,KQ1654,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,CantTell,Same,Excl,Norm,HiRepro,No,66-100%
BDMJL,KQ1692,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,LeanExcl,Diff,LowRepro,No,33-66%
BDMJL,KQ1774,Mated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,ID,Diff,ModRepro,Yes,66-100%
BDMJL,KQ1904,Nonmated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ2050,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,CantTell,Same,Excl,Norm,HiRepro,No,66-100%
BDMJL,KQ2114,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ2313,Nonmated,Primary (Baseline),Value,CantTell,Same,Same,Same,Same,Excl,Diff,ModRepro,No,66-100%
BDMJL,KQ2397,Nonmated,Primary (Baseline),Value,CantTell,Same,Same,Same,Same,Excl,Diff,ModRepro,Yes,66-100%
BDMJL,KQ2533,Mated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,ID,Norm,HiRepro,No,33-66%
BDMJL,KQ2578,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,Yes,66-100%
BDMJL,KQ2645,Nonmated,Primary (2nd assignments),Value,Same,Same,Same,Diff,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ2645,Nonmated,Primary (Baseline),Value,Same,Same,Same,Diff,Same,Excl,Easy,HiRepro,Yes,66-100%
BDMJL,KQ2656,Nonmated,Primary (Baseline),Value,CantTell,Same,Same,CantTell,Same,Insuff,Diff,HiRepro,No,66-100%
BDMJL,KQ2739,Nonmated,Primary (Baseline),Value,Same,Same,Same,Diff,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ2884,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,CantTell,Same,Excl,Norm,HiRepro,No,66-100%
BDMJL,KQ2932,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,No,33-66%
BDMJL,KQ3019,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,LowRepro,Yes,66-100%
BDMJL,KQ3087,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,Yes,66-100%
BDMJL,KQ3234,Nonmated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ3290,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ3313,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,ModRepro,Yes,66-100%
BDMJL,KQ3382,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,ModRepro,No,66-100%
BDMJL,KQ3433,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,No,66-100%
BDMJL,KQ3544,Nonmated,Primary (Baseline),Value,Same,Same,CantTell,Same,Same,Excl,Norm,ModRepro,No,66-100%
BDMJL,KQ3609,Nonmated,Primary (Baseline),Value,CantTell,Same,Same,Same,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ3805,Mated,Primary (2nd assignments),Value,CantTell,Same,CantTell,Same,Same,Insuff,VDiff,LowRepro,No,66-100%
BDMJL,KQ3805,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,No,66-100%
BDMJL,KQ3869,Nonmated,Primary (2nd assignments),Value,Same,Same,Same,Same,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ3869,Nonmated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ4111,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,HiRepro,Yes,66-100%
BDMJL,KQ4116,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,ModRepro,Yes,66-100%
BDMJL,KQ4153,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,LowRepro,No,66-100%
BDMJL,KQ4162,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanID,Diff,ModRepro,Yes,66-100%
BDMJL,KQ4264,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ4279,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,VDiff,LowRepro,Yes,66-100%
BDMJL,KQ4355,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Diff,Same,Excl,Norm,ModRepro,No,01-33%
BDMJL,KQ4403,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,LowRepro,Yes,66-100%
BDMJL,KQ4502,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,Yes,66-100%
BDMJL,KQ4503,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,ModRepro,Yes,66-100%
BDMJL,KQ4860,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BETXR,KQ1115,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,No,66-100%
BETXR,KQ1144,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,VDiff,LowRepro,Yes,66-100%
BETXR,KQ1199,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,LowRepro,Yes,66-100%
BETXR,KQ1224,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,HiRepro,Yes,66-100%
BETXR,KQ1227,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,HiRepro,Yes,66-100%
BETXR,KQ1266,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,HiRepro,No,66-100%
BETXR,KQ1302,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanID,VDiff,LowRepro,No,66-100%
BETXR,KQ1595,Nonmated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,Insuff,Diff,LowRepro,Yes,66-100%
BETXR,KQ1692,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,LowRepro,No,01-33%
BETXR,KQ1715,Mated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,ID,VDiff,LowRepro,Yes,66-100%
BETXR,KQ1941,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,HiRepro,Yes,66-100%
BETXR,KQ1983,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,No,66-100%
BETXR,KQ2114,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,VDiff,ModRepro,Yes,66-100%
BETXR,KQ2138,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,VDiff,ModRepro,Yes,66-100%
BETXR,KQ2164,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,LowRepro,Yes,66-100%
BETXR,KQ2455,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,VEasy,HiRepro,Yes,66-100%
BETXR,KQ2578,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,Yes,66-100%
BETXR,KQ2755,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,HiRepro,No,66-100%
BETXR,KQ2884,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,HiRepro,No,66-100%
BETXR,KQ2932,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Diff,LowRepro,No,01-33%
BETXR,KQ3124,Mated,Primary (Baseline),Value,CantTell,Same,Same,Same,Same,Insuff,VDiff,ModRepro,No,66-100%
BETXR,KQ3234,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,ModRepro,Yes,66-100%
BETXR,KQ3290,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,ModRepro,Yes,66-100%
BETXR,KQ3382,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,LowRepro,No,66-100%
BETXR,KQ3535,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,LowRepro,Yes,66-100%
BETXR,KQ3544,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,LowRepro,No,66-100%
BETXR,KQ3609,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,LowRepro,Yes,66-100%
BETXR,KQ3631,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,HiRepro,Yes,66-100%
BETXR,KQ3730,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,HiRepro,Yes,66-100%
BETXR,KQ4111,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Excl,Norm,HiRepro,Yes,66-100%
BETXR,KQ4116,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Diff,ModRepro,Yes,66-100%
BETXR,KQ4215,Nonmated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,LeanExcl,Diff,ModRepro,Yes,66-100%
BETXR,KQ4279,Nonmated,Primary (Baseline),NV,Same,Same,Same,CantTell,Same,NoValue,na,na,na,na
BETXR,KQ4355,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,CantTell,Same,Excl,Diff,LowRepro,No,33-66%
BETXR,KQ4397,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Diff,HiRepro,Yes,66-100%
BETXR,KQ4403,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,LowRepro,Yes,66-100%
BETXR,KQ4490,Nonmated,Primary (Baseline),Value,CantTell,Same,Same,Diff,Same,Excl,VEasy,HiRepro,No,66-100%
BETXR,KQ4503,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,HiRepro,Yes,66-100%
BETXR,KQ4520,Mated,Primary (Baseline),NV,Same,Same,Same,CantTell,Same,NoValue,na,na,na,na
BETXR,KQ4860,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,VEasy,HiRepro,Yes,66-100%
BFCAE,KQ1454,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,ModRepro,Yes,66-100%
BFCAE,KQ1562,Nonmated,Primary (Baseline),Value,Same,Same,Same,CantTell,Same,LeanExcl,Diff,HiRepro,Yes,66-100%
BFCAE,KQ1595,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,ModRepro,Yes,66-100%
BFCAE,KQ1608,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,ModRepro,Yes,66-100%
BFCAE,KQ1747,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,HiRepro,No,66-100%
BFCAE,KQ1796,Nonmated,Primary (Baseline),Value,Same,Same,Diff,Diff,Same,Excl,Easy,HiRepro,No,66-100%
BFCAE,KQ1927,Nonmated,Primary (Baseline),NV,CantTell,Same,CantTell,Same,Same,NoValue,na,na,na,na
BFCAE,KQ1930,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Diff,LowRepro,No,66-100%
BFCAE,KQ2041,Nonmated,Primary (Baseline),NV,CantTell,Same,CantTell,Same,Same,NoValue,na,na,na,na
BFCAE,KQ2084,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,ModRepro,Yes,66-100%
BFCAE,KQ2243,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Diff,LowRepro,Yes,66-100%
BFCAE,KQ2329,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,HiRepro,No,66-100%
BFCAE,KQ2426,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,HiRepro,Yes,66-100%
BFCAE,KQ2455,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,VEasy,HiRepro,Yes,66-100%
BFCAE,KQ2709,Nonmated,Primary (Baseline),NV,Same,Same,Same,Same,Same,NoValue,na,na,na,na
BFCAE,KQ2762,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,LowRepro,Yes,66-100%
BFCAE,KQ3000,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,HiRepro,No,66-100%
BFCAE,KQ3383,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,VEasy,HiRepro,Yes,66-100%
BFCAE,KQ3412,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,HiRepro,No,66-100%
BFCAE,KQ3470,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,VDiff,LowRepro,Yes,66-100%
BFCAE,KQ3535,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,ModRepro,No,66-100%
BFCAE,KQ3545,Nonmated,Primary (Baseline),Value,Same,Same,CantTell,Diff,Same,Excl,Easy,HiRepro,No,66-100%
BFCAE,KQ3730,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,Yes,66-100%
BFCAE,KQ3731,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,LeanExcl,Norm,HiRepro,Yes,66-100%
BFCAE,KQ3996,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,No,66-100%
BFCAE,KQ4020,Nonmated,Primary (Baseline),Value,Same,Same,Same,Same,Same,Insuff,Norm,ModRepro,Yes,66-100%
BFCAE,KQ4041,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,ModRepro,Yes,66-100%
BFCAE,KQ4234,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Same,Same,Insuff,Norm,LowRepro,No,66-100%
BFCAE,KQ4310,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,No,66-100%
BFCAE,KQ4485,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Norm,LowRepro,Yes,66-100%
BFCAE,KQ4490,Nonmated,Primary (Baseline),Value,CantTell,Same,CantTell,Diff,Same,Excl,Easy,HiRepro,No,66-100%
BFCAE,KQ4590,Mated,Primary (Baseline),Value,Same,Same,Same,Same,Same,ID,Easy,HiRepro,No,66-100%
