exID,pairID,responseID,ground_truth,reported_difficulty,value_decision,response3,response5,ds
1,199,54,N,NA,C_NOVAL,NA,NA,1
1,200,55,N,3,A_OFVAL,1,1,1
1,202,56,N,NA,C_NOVAL,NA,NA,1
1,203,57,M,3,A_OFVAL,2,4,0
1,209,58,N,2,A_OFVAL,1,1,1
1,212,59,N,2,A_OFVAL,1,1,1
1,214,60,N,4,A_OFVAL,2,4,1
1,215,61,N,3,A_OFVAL,1,1,1
1,223,62,N,3,A_OFVAL,1,1,1
1,226,63,N,3,A_OFVAL,2,4,1
1,228,64,N,4,A_OFVAL,1,1,1
1,231,65,M,2,A_OFVAL,3,5,0
1,241,66,N,1,A_OFVAL,1,1,1
1,245,67,N,4,A_OFVAL,1,1,1
1,246,68,N,3,A_OFVAL,1,1,1
1,249,69,N,2,A_OFVAL,1,1,1
1,252,70,M,3,A_OFVAL,3,5,0
1,254,71,N,2,A_OFVAL,1,1,1
1,255,72,M,2,A_OFVAL,3,5,0
1,257,73,N,1,A_OFVAL,1,1,1
1,266,74,N,2,A_OFVAL,1,1,1
1,267,75,M,NA,C_NOVAL,NA,NA,0
1,268,76,N,2,A_OFVAL,1,1,1
1,269,77,N,NA,C_NOVAL,NA,NA,1
1,271,78,N,1,A_OFVAL,1,1,1
1,272,79,M,4,A_OFVAL,1,1,0
1,277,80,N,2,A_OFVAL,1,1,1
1,280,81,N,3,A_OFVAL,1,1,1
1,281,82,N,4,A_OFVAL,1,1,1
1,284,83,N,3,A_OFVAL,1,1,1
1,285,84,N,2,A_OFVAL,1,1,1
1,288,85,M,3,A_OFVAL,3,5,0
1,291,86,N,4,A_OFVAL,1,1,1
1,295,87,N,3,A_OFVAL,1,1,1
1,296,88,N,3,A_OFVAL,2,2,1
2,3,89,N,2,A_OFVAL,1,1,1
2,5,90,N,2,A_OFVAL,1,1,1
2,7,91,M,5,B_LIMVAL,2,4,0
2,10,92,N,2,A_OFVAL,1,1,1
2,13,93,N,1,A_OFVAL,1,1,1
2,14,94,N,2,A_OFVAL,1,1,1
2,16,95,M,3,A_OFVAL,1,1,0
2,24,96,N,4,B_LIMVAL,2,3,1
2,27,97,M,3,A_OFVAL,3,5,0
2,29,98,N,1,A_OFVAL,1,1,1
2,36,99,N,2,A_OFVAL,1,1,1
2,39,100,N,NA,C_NOVAL,NA,NA,1
2,42,101,M,2,A_OFVAL,3,5,0
2,46,102,M,3,A_OFVAL,3,5,0
2,50,103,N,1,A_OFVAL,1,1,1
2,59,104,M,4,B_LIMVAL,2,4,0
2,63,105,N,2,A_OFVAL,1,1,1
2,65,106,M,2,A_OFVAL,3,5,0
2,69,107,N,4,A_OFVAL,1,1,1
2,73,108,N,2,A_OFVAL,1,1,1
2,75,109,N,NA,C_NOVAL,NA,NA,1
2,95,110,N,2,A_OFVAL,1,1,1
2,96,111,N,NA,C_NOVAL,NA,NA,1
2,106,112,N,4,A_OFVAL,1,1,1
2,111,113,N,1,A_OFVAL,1,1,1
2,115,114,N,4,A_OFVAL,1,1,1
2,117,115,N,1,B_LIMVAL,1,1,1
2,118,116,N,2,A_OFVAL,1,1,1
2,124,117,N,2,A_OFVAL,1,1,1
2,127,118,N,3,A_OFVAL,1,1,1
2,128,119,N,3,A_OFVAL,1,1,1
2,132,120,M,2,A_OFVAL,3,5,0
2,137,121,N,3,A_OFVAL,1,1,1
2,148,122,N,4,A_OFVAL,1,1,1
2,149,123,N,1,B_LIMVAL,1,1,1
2,150,124,N,1,A_OFVAL,1,1,1
2,153,125,N,4,A_OFVAL,1,1,1
2,155,126,N,NA,C_NOVAL,NA,NA,1
2,156,127,N,NA,C_NOVAL,NA,NA,1
2,158,128,N,4,B_LIMVAL,1,1,1
2,159,129,N,2,A_OFVAL,1,1,1
2,172,130,N,1,A_OFVAL,1,1,1
2,175,131,N,1,A_OFVAL,1,1,1
2,176,132,N,NA,C_NOVAL,NA,NA,1
2,178,133,N,2,B_LIMVAL,1,1,1
2,190,134,N,3,A_OFVAL,1,1,1
2,194,135,N,NA,C_NOVAL,NA,NA,1
2,197,136,M,4,B_LIMVAL,2,4,0
2,198,137,N,3,A_OFVAL,1,1,1
2,199,138,N,NA,C_NOVAL,NA,NA,1
2,201,139,N,4,A_OFVAL,1,1,1
2,202,140,N,NA,C_NOVAL,NA,NA,1
2,204,141,N,1,A_OFVAL,1,1,1
2,211,142,N,2,A_OFVAL,1,1,1
2,216,143,N,3,A_OFVAL,1,1,1
2,219,144,N,NA,C_NOVAL,NA,NA,1
2,223,145,N,2,A_OFVAL,1,1,1
2,227,146,N,1,A_OFVAL,1,1,1
2,233,147,M,4,A_OFVAL,2,4,0
2,248,148,N,NA,C_NOVAL,NA,NA,1
2,254,149,N,1,A_OFVAL,1,1,1
2,262,150,N,NA,C_NOVAL,NA,NA,1
2,263,151,M,4,A_OFVAL,3,5,0
2,265,152,N,1,A_OFVAL,1,1,1
2,269,153,N,NA,C_NOVAL,NA,NA,1
2,270,154,M,1,A_OFVAL,3,5,0
2,273,155,M,4,B_LIMVAL,2,4,0
2,275,156,N,4,A_OFVAL,1,1,1
2,279,157,N,NA,C_NOVAL,NA,NA,1
2,289,158,M,2,A_OFVAL,3,5,0
2,295,159,N,2,A_OFVAL,1,1,1
2,298,160,N,3,A_OFVAL,1,1,1
3,2,161,M,2,A_OFVAL,3,5,0
3,8,162,N,1,A_OFVAL,1,1,1
3,12,163,N,2,A_OFVAL,1,1,1
3,30,164,M,2,A_OFVAL,3,5,0
3,32,165,N,NA,C_NOVAL,NA,NA,1
3,33,166,N,4,A_OFVAL,1,1,1
3,41,167,N,1,A_OFVAL,1,1,1
3,43,168,N,3,A_OFVAL,1,1,1
3,47,169,M,2,A_OFVAL,3,5,0
3,49,170,N,2,A_OFVAL,1,1,1
3,52,171,N,3,A_OFVAL,1,1,1
3,55,172,N,4,A_OFVAL,1,1,1
3,60,173,M,2,A_OFVAL,3,5,0
3,77,174,N,1,A_OFVAL,1,1,1
3,78,175,N,3,A_OFVAL,1,1,1
3,79,176,N,NA,C_NOVAL,NA,NA,1
3,86,177,N,1,A_OFVAL,1,1,1
3,100,178,N,3,A_OFVAL,1,1,1
3,112,179,N,4,A_OFVAL,1,1,1
3,116,180,N,4,A_OFVAL,1,1,1
3,119,181,N,NA,C_NOVAL,NA,NA,1
3,126,182,N,3,A_OFVAL,1,1,1
3,131,183,N,3,A_OFVAL,1,1,1
3,139,184,M,1,A_OFVAL,3,5,0
3,141,185,N,3,A_OFVAL,2,2,1
3,145,186,M,NA,C_NOVAL,NA,NA,0
3,147,187,M,NA,C_NOVAL,NA,NA,0
3,162,188,N,3,A_OFVAL,1,1,1
3,165,189,N,4,B_LIMVAL,1,1,1
3,170,190,N,4,B_LIMVAL,1,1,1
3,177,191,N,3,A_OFVAL,2,2,1
3,186,192,N,2,A_OFVAL,1,1,1
3,189,193,N,2,A_OFVAL,1,1,1
3,207,194,N,1,A_OFVAL,1,1,1
3,209,195,N,2,B_LIMVAL,1,1,1
3,224,196,N,3,A_OFVAL,1,1,1
3,225,197,N,3,A_OFVAL,1,1,1
3,226,198,N,4,A_OFVAL,2,2,1
3,228,199,N,NA,C_NOVAL,NA,NA,1
3,241,200,N,1,A_OFVAL,1,1,1
3,243,201,M,NA,C_NOVAL,NA,NA,0
3,244,202,M,3,A_OFVAL,3,5,0
3,245,203,N,3,B_LIMVAL,2,3,1
3,251,204,M,2,A_OFVAL,3,5,0
3,257,205,N,1,A_OFVAL,1,1,1
3,259,206,N,1,A_OFVAL,1,1,1
3,266,207,N,NA,C_NOVAL,NA,NA,1
3,271,208,N,1,A_OFVAL,1,1,1
3,278,209,M,3,A_OFVAL,3,5,0
3,281,210,N,4,B_LIMVAL,2,2,1
3,284,211,N,2,A_OFVAL,1,1,1
3,285,212,N,2,B_LIMVAL,1,1,1
3,296,213,N,3,A_OFVAL,2,3,1
4,1,214,N,1,A_OFVAL,1,1,1
4,2,215,M,1,A_OFVAL,3,5,0
4,3,216,N,2,A_OFVAL,1,1,1
4,5,217,N,3,A_OFVAL,1,1,1
4,18,218,N,3,A_OFVAL,1,1,1
4,21,219,N,3,A_OFVAL,1,1,1
4,22,220,M,1,A_OFVAL,3,5,0
4,25,221,M,3,A_OFVAL,3,5,0
4,29,222,N,2,A_OFVAL,1,1,1
4,31,223,N,2,A_OFVAL,1,1,1
4,32,224,N,NA,C_NOVAL,NA,NA,1
4,33,225,N,3,A_OFVAL,1,1,1
4,34,226,M,3,A_OFVAL,3,5,0
4,36,227,N,4,A_OFVAL,1,1,1
4,38,228,M,4,B_LIMVAL,2,4,0
4,41,229,N,1,A_OFVAL,1,1,1
4,44,230,N,4,B_LIMVAL,2,4,1
4,47,231,M,2,A_OFVAL,3,5,0
4,48,232,N,NA,C_NOVAL,NA,NA,1
4,49,233,N,2,A_OFVAL,1,1,1
4,55,234,N,3,A_OFVAL,1,1,1
4,60,235,M,2,A_OFVAL,3,5,0
4,68,236,N,4,A_OFVAL,2,3,1
4,71,237,N,3,B_LIMVAL,2,3,1
4,72,238,N,4,A_OFVAL,1,1,1
4,75,239,N,3,B_LIMVAL,1,1,1
4,78,240,N,3,A_OFVAL,1,1,1
4,84,241,N,3,A_OFVAL,1,1,1
4,86,242,N,1,A_OFVAL,1,1,1
4,90,243,N,3,A_OFVAL,1,1,1
4,98,244,M,3,A_OFVAL,1,1,0
4,99,245,N,4,A_OFVAL,1,1,1
4,100,246,N,2,A_OFVAL,1,1,1
4,104,247,N,2,B_LIMVAL,1,1,1
4,105,248,N,1,A_OFVAL,1,1,1
4,106,249,N,3,A_OFVAL,1,1,1
4,107,250,N,3,A_OFVAL,1,1,1
4,110,251,M,NA,C_NOVAL,NA,NA,0
4,111,252,N,2,A_OFVAL,1,1,1
4,112,253,N,3,A_OFVAL,1,1,1
4,118,254,N,2,A_OFVAL,1,1,1
4,119,255,N,4,B_LIMVAL,1,1,1
4,123,256,N,3,A_OFVAL,1,1,1
4,124,257,N,3,A_OFVAL,1,1,1
4,125,258,M,3,A_OFVAL,3,5,0
4,126,259,N,3,A_OFVAL,1,1,1
4,128,260,N,3,A_OFVAL,1,1,1
4,130,261,N,3,A_OFVAL,1,1,1
4,131,262,N,3,A_OFVAL,1,1,1
4,137,263,N,3,A_OFVAL,1,1,1
4,139,264,M,2,A_OFVAL,3,5,0
4,142,265,N,4,B_LIMVAL,2,4,1
4,143,266,M,3,A_OFVAL,3,5,0
4,147,267,M,4,B_LIMVAL,2,4,0
4,150,268,N,3,A_OFVAL,1,1,1
4,153,269,N,3,A_OFVAL,1,1,1
4,154,270,N,2,A_OFVAL,1,1,1
4,156,271,N,3,A_OFVAL,1,1,1
4,157,272,M,3,A_OFVAL,3,5,0
4,158,273,N,NA,C_NOVAL,NA,NA,1
4,160,274,N,3,A_OFVAL,1,1,1
4,162,275,N,3,A_OFVAL,1,1,1
4,169,276,N,2,A_OFVAL,1,1,1
4,172,277,N,1,A_OFVAL,1,1,1
4,176,278,N,NA,C_NOVAL,NA,NA,1
4,177,279,N,4,A_OFVAL,1,1,1
4,178,280,N,3,A_OFVAL,1,1,1
4,188,281,M,3,A_OFVAL,3,5,0
4,191,282,M,2,A_OFVAL,3,5,0
4,199,283,N,NA,C_NOVAL,NA,NA,1
4,200,284,N,4,A_OFVAL,1,1,1
4,201,285,N,3,A_OFVAL,1,1,1
4,202,286,N,2,B_LIMVAL,2,3,1
4,212,287,N,2,A_OFVAL,1,1,1
4,214,288,N,3,A_OFVAL,1,1,1
4,218,289,M,3,A_OFVAL,3,5,0
4,223,290,N,3,A_OFVAL,1,1,1
4,224,291,N,2,A_OFVAL,1,1,1
4,226,292,N,3,A_OFVAL,2,2,1
4,227,293,N,2,A_OFVAL,1,1,1
4,228,294,N,3,B_LIMVAL,2,3,1
4,230,295,M,2,A_OFVAL,3,5,0
4,245,296,N,4,B_LIMVAL,1,1,1
4,246,297,N,3,A_OFVAL,1,1,1
4,248,298,N,NA,C_NOVAL,NA,NA,1
4,257,299,N,2,A_OFVAL,1,1,1
4,264,300,M,4,A_OFVAL,2,2,0
4,265,301,N,3,A_OFVAL,1,1,1
4,268,302,N,2,A_OFVAL,1,1,1
4,278,303,M,2,A_OFVAL,3,5,0
4,279,304,N,NA,C_NOVAL,NA,NA,1
4,280,305,N,3,A_OFVAL,1,1,1
4,284,306,N,2,A_OFVAL,1,1,1
4,285,307,N,2,A_OFVAL,1,1,1
4,290,308,N,NA,C_NOVAL,NA,NA,1
4,294,309,N,3,A_OFVAL,2,3,1
4,297,310,N,4,B_LIMVAL,1,1,1
4,298,311,N,2,A_OFVAL,1,1,1
5,10,312,N,2,A_OFVAL,3,5,1
5,11,313,M,4,B_LIMVAL,2,4,0
5,13,314,N,3,A_OFVAL,1,1,1
5,24,315,N,NA,C_NOVAL,NA,NA,1
5,62,316,M,NA,C_NOVAL,NA,NA,0
5,69,317,N,4,A_OFVAL,1,1,1
5,73,318,N,3,A_OFVAL,2,4,1
5,89,319,M,NA,C_NOVAL,NA,NA,0
5,90,320,N,NA,C_NOVAL,NA,NA,1
5,96,321,N,NA,C_NOVAL,NA,NA,1
5,117,322,N,NA,C_NOVAL,NA,NA,1
5,122,323,N,3,A_OFVAL,1,1,1
5,127,324,N,NA,C_NOVAL,NA,NA,1
5,129,325,N,NA,C_NOVAL,NA,NA,1
5,149,326,N,NA,C_NOVAL,NA,NA,1
5,151,327,M,4,B_LIMVAL,2,3,0
5,155,328,N,NA,C_NOVAL,NA,NA,1
5,159,329,N,4,B_LIMVAL,2,3,1
5,163,330,M,NA,C_NOVAL,NA,NA,0
5,182,331,N,NA,C_NOVAL,NA,NA,1
5,190,332,N,4,B_LIMVAL,2,4,1
5,194,333,N,NA,C_NOVAL,NA,NA,1
5,198,334,N,NA,C_NOVAL,NA,NA,1
5,199,335,N,NA,C_NOVAL,NA,NA,1
5,220,336,M,3,A_OFVAL,3,5,0
5,223,337,N,4,B_LIMVAL,2,3,1
5,262,338,N,NA,C_NOVAL,NA,NA,1
5,269,339,N,NA,C_NOVAL,NA,NA,1
5,279,340,N,NA,C_NOVAL,NA,NA,1
5,283,341,N,NA,C_NOVAL,NA,NA,1
5,293,342,N,3,A_OFVAL,1,1,1
6,3,343,N,3,A_OFVAL,1,1,1
6,4,344,M,4,A_OFVAL,3,5,0
6,5,345,N,2,A_OFVAL,1,1,1
6,7,346,M,4,B_LIMVAL,2,3,0
6,8,347,N,1,A_OFVAL,1,1,1
6,10,348,N,2,A_OFVAL,1,1,1
6,21,349,N,4,A_OFVAL,2,3,1
6,22,350,M,1,A_OFVAL,3,5,0
6,24,351,N,4,A_OFVAL,1,1,1
6,29,352,N,3,A_OFVAL,1,1,1
6,31,353,N,2,A_OFVAL,1,1,1
6,37,354,M,2,A_OFVAL,3,5,0
6,42,355,M,2,A_OFVAL,3,5,0
6,43,356,N,NA,C_NOVAL,NA,NA,1
6,44,357,N,NA,C_NOVAL,NA,NA,1
6,46,358,M,2,A_OFVAL,3,5,0
6,48,359,N,NA,C_NOVAL,NA,NA,1
6,50,360,N,1,A_OFVAL,1,1,1
6,52,361,N,3,A_OFVAL,2,2,1
6,63,362,N,3,A_OFVAL,1,1,1
6,64,363,N,NA,C_NOVAL,NA,NA,1
6,68,364,N,5,A_OFVAL,2,3,1
6,69,365,N,4,A_OFVAL,1,1,1
6,70,366,N,2,B_LIMVAL,1,1,1
6,71,367,N,NA,C_NOVAL,NA,NA,1
6,72,368,N,NA,C_NOVAL,NA,NA,1
6,73,369,N,4,A_OFVAL,2,2,1
6,76,370,N,4,A_OFVAL,1,1,1
6,77,371,N,1,A_OFVAL,1,1,1
6,79,372,N,4,B_LIMVAL,2,2,1
6,81,373,N,4,A_OFVAL,1,1,1
6,83,374,N,4,A_OFVAL,1,1,1
6,84,375,N,4,A_OFVAL,1,1,1
6,90,376,N,NA,C_NOVAL,NA,NA,1
6,91,377,M,1,A_OFVAL,3,5,0
6,95,378,N,2,A_OFVAL,1,1,1
6,96,379,N,NA,C_NOVAL,NA,NA,1
6,98,380,M,3,B_LIMVAL,2,3,0
6,104,381,N,1,B_LIMVAL,1,1,1
6,112,382,N,4,A_OFVAL,1,1,1
6,116,383,N,4,A_OFVAL,2,3,1
6,117,384,N,NA,C_NOVAL,NA,NA,1
6,123,385,N,2,A_OFVAL,1,1,1
6,127,386,N,5,B_LIMVAL,2,3,1
6,128,387,N,3,A_OFVAL,1,1,1
6,133,388,M,1,A_OFVAL,3,5,0
6,137,389,N,5,A_OFVAL,2,3,1
6,140,390,N,2,A_OFVAL,1,1,1
6,141,391,N,4,A_OFVAL,2,3,1
6,142,392,N,3,B_LIMVAL,2,3,1
6,149,393,N,1,A_OFVAL,1,1,1
6,154,394,N,1,B_LIMVAL,1,1,1
6,155,395,N,3,B_LIMVAL,2,3,1
6,156,396,N,2,A_OFVAL,1,1,1
6,159,397,N,3,A_OFVAL,1,1,1
6,160,398,N,5,B_LIMVAL,2,4,1
6,166,399,M,2,A_OFVAL,3,5,0
6,170,400,N,3,B_LIMVAL,2,3,1
6,172,401,N,1,A_OFVAL,1,1,1
6,175,402,N,3,A_OFVAL,1,1,1
6,176,403,N,NA,C_NOVAL,NA,NA,1
6,184,404,N,NA,C_NOVAL,NA,NA,1
6,189,405,N,3,A_OFVAL,1,1,1
6,190,406,N,3,A_OFVAL,1,1,1
6,191,407,M,1,A_OFVAL,3,5,0
6,194,408,N,NA,C_NOVAL,NA,NA,1
6,198,409,N,5,B_LIMVAL,2,3,1
6,199,410,N,NA,C_NOVAL,NA,NA,1
6,200,411,N,4,A_OFVAL,1,1,1
6,201,412,N,4,A_OFVAL,2,3,1
6,202,413,N,NA,C_NOVAL,NA,NA,1
6,206,414,M,2,A_OFVAL,3,5,0
6,207,415,N,2,A_OFVAL,1,1,1
6,212,416,N,3,A_OFVAL,1,1,1
6,214,417,N,4,B_LIMVAL,2,3,1
6,215,418,N,3,A_OFVAL,1,1,1
6,216,419,N,3,A_OFVAL,2,3,1
6,218,420,M,2,A_OFVAL,3,5,0
6,223,421,N,4,A_OFVAL,1,1,1
6,225,422,N,3,A_OFVAL,1,1,1
6,233,423,M,2,A_OFVAL,3,5,0
6,246,424,N,NA,C_NOVAL,NA,NA,1
6,247,425,M,4,A_OFVAL,2,4,0
6,250,426,M,3,A_OFVAL,2,4,0
6,256,427,M,4,B_LIMVAL,2,4,0
6,259,428,N,1,A_OFVAL,1,1,1
6,262,429,N,NA,C_NOVAL,NA,NA,1
6,264,430,M,NA,C_NOVAL,NA,NA,0
6,266,431,N,2,B_LIMVAL,2,2,1
6,268,432,N,2,A_OFVAL,1,1,1
6,271,433,N,1,A_OFVAL,1,1,1
6,277,434,N,3,A_OFVAL,1,1,1
6,279,435,N,NA,C_NOVAL,NA,NA,1
6,280,436,N,3,A_OFVAL,1,1,1
6,289,437,M,3,A_OFVAL,3,5,0
6,291,438,N,4,B_LIMVAL,2,2,1
6,292,439,M,2,A_OFVAL,1,1,0
6,296,440,N,3,A_OFVAL,2,3,1
6,297,441,N,2,A_OFVAL,1,1,1
6,298,442,N,3,A_OFVAL,1,1,1
7,3,443,N,2,A_OFVAL,1,1,1
7,5,444,N,2,A_OFVAL,1,1,1
7,8,445,N,1,A_OFVAL,1,1,1
7,9,446,N,5,B_LIMVAL,2,2,1
7,12,447,N,3,A_OFVAL,1,1,1
7,13,448,N,2,A_OFVAL,1,1,1
7,14,449,N,4,A_OFVAL,1,1,1
7,18,450,N,3,A_OFVAL,2,2,1
7,29,451,N,2,A_OFVAL,1,1,1
7,32,452,N,NA,C_NOVAL,NA,NA,1
7,33,453,N,5,A_OFVAL,2,3,1
7,35,454,M,5,A_OFVAL,2,4,0
7,36,455,N,4,A_OFVAL,2,3,1
7,39,456,N,NA,C_NOVAL,NA,NA,1
7,44,457,N,NA,C_NOVAL,NA,NA,1
7,49,458,N,1,A_OFVAL,1,1,1
7,52,459,N,4,A_OFVAL,1,1,1
7,55,460,N,5,A_OFVAL,2,3,1
7,56,461,M,2,A_OFVAL,3,5,0
7,70,462,N,3,B_LIMVAL,1,1,1
7,72,463,N,4,A_OFVAL,2,3,1
7,74,464,M,4,A_OFVAL,3,5,0
7,75,465,N,3,B_LIMVAL,1,1,1
7,76,466,N,4,A_OFVAL,1,1,1
7,77,467,N,2,A_OFVAL,1,1,1
7,78,468,N,4,A_OFVAL,1,1,1
7,79,469,N,NA,C_NOVAL,NA,NA,1
7,83,470,N,2,A_OFVAL,1,1,1
7,86,471,N,2,A_OFVAL,1,1,1
7,97,472,M,NA,C_NOVAL,NA,NA,0
7,99,473,N,5,A_OFVAL,2,2,1
7,100,474,N,4,A_OFVAL,2,2,1
7,103,475,M,3,A_OFVAL,3,5,0
7,114,476,N,1,A_OFVAL,1,1,1
7,115,477,N,4,A_OFVAL,2,3,1
7,118,478,N,3,A_OFVAL,1,1,1
7,119,479,N,NA,C_NOVAL,NA,NA,1
7,124,480,N,2,A_OFVAL,1,1,1
7,126,481,N,5,A_OFVAL,2,2,1
7,128,482,N,4,A_OFVAL,1,1,1
7,132,483,M,4,A_OFVAL,3,5,0
7,134,484,M,4,B_LIMVAL,2,4,0
7,137,485,N,5,A_OFVAL,1,1,1
7,138,486,M,5,A_OFVAL,3,5,0
7,141,487,N,5,A_OFVAL,2,2,1
7,144,488,M,4,A_OFVAL,3,5,0
7,148,489,N,5,A_OFVAL,2,2,1
7,150,490,N,5,A_OFVAL,2,3,1
7,153,491,N,4,A_OFVAL,2,2,1
7,156,492,N,4,A_OFVAL,2,2,1
7,164,493,M,4,B_LIMVAL,2,3,0
7,165,494,N,5,A_OFVAL,2,2,1
7,169,495,N,2,A_OFVAL,1,1,1
7,170,496,N,4,B_LIMVAL,1,1,1
7,171,497,M,3,A_OFVAL,3,5,0
7,172,498,N,1,A_OFVAL,1,1,1
7,173,499,N,1,A_OFVAL,1,1,1
7,176,500,N,NA,C_NOVAL,NA,NA,1
7,177,501,N,5,A_OFVAL,2,2,1
7,178,502,N,4,A_OFVAL,2,2,1
7,184,503,N,5,B_LIMVAL,2,3,1
7,186,504,N,5,A_OFVAL,2,2,1
7,195,505,N,3,A_OFVAL,2,2,1
7,197,506,M,4,A_OFVAL,2,4,0
7,199,507,N,NA,C_NOVAL,NA,NA,1
7,201,508,N,4,A_OFVAL,1,1,1
7,202,509,N,NA,C_NOVAL,NA,NA,1
7,204,510,N,3,A_OFVAL,1,1,1
7,207,511,N,2,A_OFVAL,1,1,1
7,209,512,N,4,B_LIMVAL,1,1,1
7,211,513,N,1,A_OFVAL,1,1,1
7,219,514,N,NA,C_NOVAL,NA,NA,1
7,222,515,M,4,A_OFVAL,3,5,0
7,223,516,N,2,A_OFVAL,1,1,1
7,224,517,N,3,A_OFVAL,1,1,1
7,225,518,N,2,A_OFVAL,1,1,1
7,226,519,N,5,A_OFVAL,2,2,1
7,228,520,N,NA,C_NOVAL,NA,NA,1
7,235,521,M,3,A_OFVAL,3,5,0
7,241,522,N,2,A_OFVAL,1,1,1
7,245,523,N,5,B_LIMVAL,2,2,1
7,248,524,N,NA,C_NOVAL,NA,NA,1
7,249,525,N,2,A_OFVAL,1,1,1
7,254,526,N,3,B_LIMVAL,1,1,1
7,259,527,N,2,A_OFVAL,1,1,1
7,260,528,M,NA,C_NOVAL,NA,NA,0
7,263,529,M,4,A_OFVAL,3,5,0
7,269,530,N,NA,C_NOVAL,NA,NA,1
7,273,531,M,5,A_OFVAL,3,5,0
7,275,532,N,2,A_OFVAL,1,1,1
7,277,533,N,2,A_OFVAL,1,1,1
7,281,534,N,5,B_LIMVAL,2,2,1
7,282,535,M,2,A_OFVAL,3,5,0
7,290,536,N,NA,C_NOVAL,NA,NA,1
7,294,537,N,3,A_OFVAL,2,3,1
7,295,538,N,2,A_OFVAL,1,1,1
7,296,539,N,5,A_OFVAL,2,3,1
7,298,540,N,3,A_OFVAL,1,1,1
7,299,541,M,4,A_OFVAL,3,5,0
7,300,542,M,4,A_OFVAL,3,5,0
8,8,543,N,1,A_OFVAL,1,1,1
8,12,544,N,2,A_OFVAL,1,1,1
8,13,545,N,3,A_OFVAL,1,1,1
8,18,546,N,3,A_OFVAL,1,1,1
8,20,547,M,3,A_OFVAL,3,5,0
8,24,548,N,4,B_LIMVAL,2,3,1
8,25,549,M,3,A_OFVAL,3,5,0
8,28,550,M,1,A_OFVAL,3,5,0
8,29,551,N,3,A_OFVAL,1,1,1
8,34,552,M,2,A_OFVAL,3,5,0
8,36,553,N,4,A_OFVAL,1,1,1
8,44,554,N,4,B_LIMVAL,2,3,1
8,48,555,N,NA,C_NOVAL,NA,NA,1
8,50,556,N,3,A_OFVAL,1,1,1
8,52,557,N,3,A_OFVAL,1,1,1
8,56,558,M,3,A_OFVAL,3,5,0
8,63,559,N,3,A_OFVAL,1,1,1
8,67,560,M,5,B_LIMVAL,2,4,0
8,69,561,N,3,A_OFVAL,1,1,1
8,70,562,N,3,B_LIMVAL,1,1,1
8,72,563,N,3,A_OFVAL,1,1,1
8,73,564,N,3,A_OFVAL,1,1,1
8,74,565,M,4,A_OFVAL,3,5,0
8,75,566,N,2,B_LIMVAL,1,1,1
