exID,pairID,responseID,ground_truth,reported_difficulty,value_decision,response3,response5,response7
13,68,104,Nonmated,3,A_YES,2,4,5
13,71,105,Nonmated,2,A_YES,2,4,5
13,72,106,Nonmated,2,A_YES,2,4,5
13,73,107,Mated,1,A_YES,1,1,1
13,77,108,Nonmated,2,A_YES,2,2,3
10,13,109,Mated,3,A_YES,1,1,1
10,18,110,Nonmated,4,A_YES,2,2,3
10,34,111,Nonmated,5,B_NO,NA,NA,NA
10,41,112,Nonmated,4,A_YES,2,4,6
10,42,113,Mated,4,A_YES,2,2,3
10,53,114,Nonmated,2,A_YES,1,1,1
10,62,115,Nonmated,3,A_YES,2,2,3
10,65,116,Nonmated,2,A_YES,3,5,7
10,74,117,Nonmated,4,B_NO,NA,NA,NA
8,7,118,Mated,3,A_YES,2,4,5
8,9,119,Nonmated,3,A_YES,2,4,5
8,11,120,Mated,1,A_YES,3,5,7
8,15,121,Mated,3,A_YES,2,4,5
8,16,122,Nonmated,2,A_YES,3,5,7
8,32,123,Mated,3,A_YES,1,1,1
8,34,124,Nonmated,5,A_YES,2,3,4
8,49,125,Nonmated,3,A_YES,2,4,5
8,52,126,Mated,4,A_YES,2,2,2
8,62,127,Nonmated,2,A_YES,3,5,7
8,65,128,Nonmated,3,A_YES,3,5,7
8,74,129,Nonmated,2,A_YES,2,4,5
8,76,130,Nonmated,3,A_YES,2,4,5
3,1,131,Mated,4,A_YES,3,5,7
3,4,132,Mated,4,A_YES,2,2,3
3,8,133,Nonmated,2,A_YES,2,2,3
3,19,134,Nonmated,3,A_YES,2,2,3
3,21,135,Mated,3,A_YES,2,2,3
3,29,136,Mated,4,A_YES,2,2,2
3,33,137,Mated,2,A_YES,2,2,3
3,39,138,Nonmated,2,A_YES,2,4,5
3,43,139,Nonmated,2,A_YES,2,2,3
3,44,140,Nonmated,3,A_YES,3,5,7
3,48,141,Mated,3,A_YES,2,2,3
3,60,142,Mated,2,A_YES,2,2,3
3,67,143,Nonmated,3,A_YES,2,2,3
3,68,144,Nonmated,1,A_YES,2,2,3
7,39,145,Nonmated,3,A_YES,2,4,5
7,44,146,Nonmated,3,A_YES,2,4,6
7,48,147,Mated,3,A_YES,2,4,5
7,50,148,Mated,3,A_YES,2,2,3
7,56,149,Nonmated,3,A_YES,2,4,6
7,63,150,Nonmated,3,A_YES,2,2,3
7,73,151,Mated,3,A_YES,1,1,1
4,3,152,Nonmated,2,A_YES,2,2,3
4,5,153,Nonmated,2,A_YES,2,2,3
4,14,154,Nonmated,2,A_YES,2,2,3
4,18,155,Nonmated,3,A_YES,2,3,4
4,26,156,Mated,3,A_YES,2,2,3
4,27,157,Mated,2,A_YES,2,2,3
4,28,158,Nonmated,3,A_YES,2,4,5
4,33,159,Mated,3,A_YES,2,2,3
4,38,160,Nonmated,3,A_YES,2,4,5
4,39,161,Nonmated,3,A_YES,2,4,5
4,40,162,Mated,1,A_YES,1,1,1
4,56,163,Nonmated,2,A_YES,3,5,7
4,59,164,Mated,3,A_YES,2,2,3
4,62,165,Nonmated,3,A_YES,2,2,3
4,67,166,Nonmated,3,A_YES,2,3,4
4,77,167,Nonmated,1,A_YES,2,2,3
14,1,168,Mated,4,A_YES,2,2,3
14,8,169,Nonmated,3,A_YES,2,2,3
14,25,170,Nonmated,3,A_YES,2,2,3
14,44,171,Nonmated,3,A_YES,2,2,3
15,2,172,Mated,3,A_YES,2,4,5
15,3,173,Nonmated,3,A_YES,2,4,5
15,6,174,Nonmated,3,A_YES,2,4,5
15,8,175,Nonmated,2,A_YES,3,5,7
15,10,176,Mated,3,A_YES,2,2,3
15,11,177,Mated,3,A_YES,1,1,1
15,12,178,Nonmated,2,A_YES,2,4,5
15,13,179,Mated,3,A_YES,1,1,1
15,14,180,Nonmated,3,A_YES,2,4,6
15,15,181,Mated,3,A_YES,2,2,2
15,16,182,Nonmated,2,A_YES,3,5,7
15,17,183,Nonmated,3,A_YES,3,5,7
15,19,184,Nonmated,3,A_YES,2,4,5
15,20,185,Nonmated,3,A_YES,2,2,3
15,21,186,Mated,3,A_YES,2,4,5
15,22,187,Mated,3,A_YES,2,4,5
15,23,188,Mated,3,A_YES,1,1,1
15,27,189,Mated,3,A_YES,3,5,7
15,31,190,Nonmated,3,A_YES,2,4,6
15,32,191,Mated,3,A_YES,1,1,1
15,34,192,Nonmated,3,A_YES,2,4,5
15,35,193,Mated,3,A_YES,2,4,5
15,39,194,Nonmated,3,A_YES,2,4,6
15,41,195,Nonmated,3,A_YES,2,2,3
15,43,196,Nonmated,3,A_YES,2,4,6
15,47,197,Nonmated,3,A_YES,2,2,3
15,49,198,Nonmated,3,A_YES,2,4,5
15,51,199,Mated,3,A_YES,2,2,3
15,52,200,Mated,3,A_YES,2,4,5
15,53,201,Nonmated,3,A_YES,2,4,6
15,54,202,Mated,3,A_YES,2,4,5
15,55,203,Mated,3,A_YES,2,2,3
15,56,204,Nonmated,3,A_YES,3,5,7
15,62,205,Nonmated,3,A_YES,2,4,5
15,63,206,Nonmated,3,A_YES,2,2,3
15,64,207,Mated,3,A_YES,2,2,3
15,69,208,Mated,3,A_YES,2,4,5
15,71,209,Nonmated,3,A_YES,2,4,5
15,72,210,Nonmated,3,A_YES,2,2,3
15,77,211,Nonmated,3,A_YES,2,2,3
17,24,212,Nonmated,3,A_YES,2,2,3
17,36,213,Mated,3,A_YES,2,2,3
1,10,214,Mated,2,A_YES,2,2,3
1,17,215,Nonmated,3,A_YES,3,5,7
1,20,216,Nonmated,2,A_YES,2,2,3
1,24,217,Nonmated,4,A_YES,2,2,3
1,31,218,Nonmated,3,A_YES,2,4,6
1,37,219,Nonmated,3,B_NO,NA,NA,NA
1,52,220,Mated,3,A_YES,1,1,1
1,68,221,Nonmated,2,A_YES,2,2,3
1,72,222,Nonmated,2,A_YES,2,2,3
9,4,223,Mated,3,A_YES,1,1,1
9,11,224,Mated,3,A_YES,2,2,3
9,19,225,Nonmated,3,A_YES,2,2,3
9,21,226,Mated,3,A_YES,2,2,3
9,30,227,Mated,3,A_YES,2,2,3
9,31,228,Nonmated,3,A_YES,2,2,3
9,37,229,Nonmated,4,A_YES,2,3,4
9,43,230,Nonmated,4,A_YES,2,3,4
9,44,231,Nonmated,3,A_YES,2,2,3
9,63,232,Nonmated,3,A_YES,2,2,3
9,66,233,Mated,3,A_YES,2,2,3
9,68,234,Nonmated,3,A_YES,2,2,3
9,71,235,Nonmated,3,A_YES,2,2,3
9,72,236,Nonmated,3,A_YES,2,2,3
9,73,237,Mated,2,A_YES,1,1,1
9,75,238,Nonmated,3,A_YES,2,2,3
