exID,pairID,responseID,ground_truth,KQ/QQ,value_decision,response3,response5,reported_difficulty
3,282,62,Mated,KQ,Value,2,4,4
3,299,63,Nonmated,KQ,Value,2,2,3
3,300,64,Nonmated,KQ,Value,1,1,3
3,314,65,Mated,KQ,Value,3,5,2
3,358,66,Nonmated,KQ,Value,2,3,3
3,362,67,Nonmated,KQ,Value,2,3,3
3,391,68,Nonmated,KQ,Value,2,3,3
3,407,69,Mated,KQ,Value,2,2,3
3,419,70,Mated,KQ,Value,3,5,4
3,423,71,Nonmated,KQ,Value,2,3,3
3,424,72,Nonmated,KQ,Value,2,3,3
3,435,73,Mated,KQ,Value,3,5,2
3,436,74,Nonmated,KQ,Value,2,2,3
3,447,75,Mated,KQ,Value,3,5,3
3,491,76,Nonmated,KQ,Value,2,3,4
3,508,77,Nonmated,KQ,Value,2,3,3
3,534,78,Nonmated,KQ,Value,2,2,3
3,557,79,Nonmated,KQ,Value,2,3,4
3,568,80,Nonmated,KQ,Value,2,3,3
3,612,81,Nonmated,KQ,Value,2,3,4
4,16,82,Mated,KQ,Value,3,5,3
4,20,83,Nonmated,KQ,Value,1,1,4
4,20,84,Nonmated,KQ,Value,1,1,3
4,24,85,Nonmated,KQ,Value,1,1,3
4,28,86,Mated,KQ,Value,3,5,3
4,39,87,Mated,KQ,Value,3,5,3
4,54,88,Nonmated,KQ,Value,1,1,3
4,57,89,Nonmated,KQ,Value,2,2,4
4,77,90,Mated,KQ,Value,3,5,3
4,77,91,Mated,KQ,Value,3,5,2
4,99,92,Nonmated,KQ,Value,1,1,3
4,102,93,Nonmated,KQ,Value,2,2,4
4,118,94,Mated,KQ,Value,3,5,4
4,142,95,Nonmated,KQ,Value,1,1,3
4,161,96,Nonmated,KQ,Value,1,1,3
4,171,97,Nonmated,KQ,Value,1,1,3
4,208,98,Nonmated,KQ,Value,1,1,4
4,220,99,Nonmated,KQ,Value,1,1,4
4,237,100,Mated,KQ,Value,3,5,3
4,242,101,Mated,KQ,Value,3,5,3
4,254,102,Nonmated,KQ,Value,1,1,3
4,254,103,Nonmated,KQ,Value,1,1,2
4,257,104,Nonmated,KQ,Value,2,3,4
4,270,105,Nonmated,KQ,Value,1,1,3
4,290,106,Nonmated,KQ,Value,1,1,3
4,297,107,Mated,KQ,Value,3,5,3
4,310,108,Nonmated,KQ,Value,1,1,3
4,321,109,Mated,KQ,Value,3,5,3
4,341,110,Nonmated,KQ,Value,1,1,3
4,348,111,Nonmated,KQ,Value,1,1,3
4,352,112,Nonmated,KQ,Value,2,2,4
4,359,113,Nonmated,KQ,Value,1,1,3
4,365,114,Mated,KQ,Value,3,5,3
4,379,115,Nonmated,KQ,Value,1,1,3
4,390,116,Nonmated,KQ,Value,1,1,3
4,422,117,Mated,KQ,Value,2,3,5
4,422,118,Mated,KQ,Value,3,5,3
4,432,119,Nonmated,KQ,Value,1,1,3
4,432,120,Nonmated,KQ,Value,1,1,3
4,470,121,Nonmated,KQ,Value,1,1,3
4,472,122,Nonmated,KQ,Value,2,2,4
4,474,123,Nonmated,KQ,Value,2,3,4
4,477,124,Mated,KQ,Value,2,4,4
4,498,125,Nonmated,KQ,Value,1,1,3
4,503,126,Nonmated,KQ,Value,2,3,5
4,517,127,Nonmated,KQ,Value,1,1,3
4,525,128,Mated,KQ,Value,3,5,3
4,551,129,Mated,KQ,Value,3,5,3
4,552,130,Nonmated,KQ,Value,1,1,3
4,608,131,Mated,KQ,Value,3,5,3
5,16,132,Mated,KQ,Value,3,5,3
5,19,133,Mated,KQ,Value,3,5,5
5,24,134,Nonmated,KQ,Value,2,2,4
5,28,135,Mated,KQ,Value,3,5,3
5,31,136,Nonmated,KQ,Value,2,2,3
5,36,137,Nonmated,KQ,Value,1,1,3
5,42,138,Nonmated,KQ,Value,2,4,5
5,93,139,Nonmated,KQ,Value,2,3,4
5,102,140,Nonmated,KQ,Value,2,3,4
5,106,141,Mated,KQ,Value,3,5,5
5,147,142,Nonmated,KQ,Value,2,2,3
5,151,143,Mated,KQ,Value,3,5,2
5,171,144,Nonmated,KQ,Value,2,3,5
5,174,145,Nonmated,KQ,Value,3,5,5
5,178,146,Mated,KQ,Value,3,5,3
5,228,147,Mated,KQ,Value,3,5,1
5,242,148,Mated,KQ,Value,3,5,3
5,272,149,Nonmated,KQ,Value,2,3,3
5,290,150,Nonmated,KQ,Value,1,1,3
5,297,151,Mated,KQ,Value,3,5,4
5,326,152,Mated,KQ,Value,2,3,5
5,341,153,Nonmated,KQ,Value,1,1,3
5,348,154,Nonmated,KQ,Value,2,2,4
5,359,155,Nonmated,KQ,Value,2,3,4
5,376,156,Nonmated,KQ,Value,2,2,4
5,379,157,Nonmated,KQ,Value,2,2,4
5,390,158,Nonmated,KQ,Value,2,2,4
5,392,159,Nonmated,KQ,Value,2,2,4
5,413,160,Nonmated,KQ,Value,2,2,3
5,470,161,Nonmated,KQ,Value,1,1,3
5,472,162,Nonmated,KQ,Value,2,3,4
5,484,163,Nonmated,KQ,Value,2,2,4
5,503,164,Nonmated,KQ,NV,NA,NA,NA
5,517,165,Nonmated,KQ,Value,1,1,4
5,523,166,Nonmated,KQ,Value,2,2,4
5,525,167,Mated,KQ,Value,3,5,3
5,548,168,Nonmated,KQ,Value,1,1,1
5,552,169,Nonmated,KQ,Value,2,2,3
5,556,170,Mated,KQ,NV,NA,NA,NA
5,608,171,Mated,KQ,Value,3,5,1
6,70,172,Mated,KQ,Value,3,5,2
6,88,173,Nonmated,KQ,Value,2,2,4
6,93,174,Nonmated,KQ,Value,2,3,3
6,94,175,Nonmated,KQ,Value,2,3,3
6,111,176,Nonmated,KQ,Value,2,3,4
6,120,177,Nonmated,KQ,Value,1,1,2
6,144,178,Nonmated,KQ,NV,NA,NA,NA
6,145,179,Nonmated,KQ,Value,2,3,4
6,158,180,Nonmated,KQ,NV,NA,NA,NA
6,165,181,Mated,KQ,Value,3,5,2
6,192,182,Nonmated,KQ,Value,2,3,4
6,210,183,Nonmated,KQ,Value,2,3,3
6,225,184,Mated,KQ,Value,2,3,3
6,228,185,Mated,KQ,Value,3,5,1
6,263,186,Nonmated,KQ,NV,NA,NA,NA
6,274,187,Nonmated,KQ,Value,2,3,3
6,306,188,Nonmated,KQ,Value,2,3,3
6,360,189,Mated,KQ,Value,3,5,1
6,361,190,Nonmated,KQ,Value,2,3,3
6,369,191,Mated,KQ,Value,2,3,5
6,376,192,Nonmated,KQ,Value,2,3,3
6,380,193,Nonmated,KQ,Value,1,1,2
6,413,194,Nonmated,KQ,Value,3,5,2
6,414,195,Nonmated,KQ,Value,2,2,3
6,450,196,Mated,KQ,Value,3,5,2
6,455,197,Nonmated,KQ,Value,2,3,3
6,459,198,Mated,KQ,Value,3,5,3
6,490,199,Nonmated,KQ,Value,2,3,3
6,510,200,Mated,KQ,Value,3,5,2
6,547,201,Mated,KQ,Value,3,5,3
6,548,202,Nonmated,KQ,Value,1,1,2
6,567,203,Mated,KQ,Value,3,5,2
6,597,204,Mated,KQ,Value,2,2,2
6,610,205,Mated,KQ,Value,3,5,3
6,618,206,Nonmated,KQ,Value,2,2,3
7,10,207,Mated,KQ,Value,3,5,1
7,40,208,Nonmated,KQ,Value,2,3,4
7,84,209,Mated,KQ,Value,3,5,1
7,199,210,Nonmated,KQ,Value,2,3,4
7,213,211,Nonmated,KQ,Value,2,3,3
7,250,212,Nonmated,KQ,Value,2,3,3
7,295,213,Mated,KQ,Value,3,5,1
7,386,214,Nonmated,KQ,Value,1,1,1
7,410,215,Nonmated,KQ,Value,1,1,1
7,433,216,Nonmated,KQ,Value,2,3,4
7,452,217,Nonmated,KQ,Value,2,2,3
7,488,218,Nonmated,KQ,Value,1,1,1
7,539,219,Mated,KQ,Value,3,5,3
7,590,220,Nonmated,KQ,Value,2,3,3
7,592,221,Mated,KQ,Value,2,3,4
8,5,222,Mated,KQ,Value,2,3,5
8,16,223,Mated,KQ,Value,3,5,2
8,20,224,Nonmated,KQ,Value,2,2,4
8,20,225,Nonmated,KQ,Value,2,2,2
8,45,226,Nonmated,KQ,Value,2,3,4
8,46,227,Mated,KQ,Value,3,5,3
8,51,228,Nonmated,KQ,Value,2,3,5
8,56,229,Nonmated,KQ,Value,2,3,3
8,77,230,Mated,KQ,Value,3,5,3
8,77,231,Mated,KQ,Value,3,5,3
8,93,232,Nonmated,KQ,Value,2,3,4
8,94,233,Nonmated,KQ,Value,2,3,3
8,144,234,Nonmated,KQ,Value,2,3,3
8,150,235,Nonmated,KQ,Value,2,2,4
8,159,236,Nonmated,KQ,Value,2,3,5
8,228,237,Mated,KQ,Value,3,5,3
8,230,238,Nonmated,KQ,Value,2,3,3
8,232,239,Nonmated,KQ,Value,1,1,1
8,235,240,Nonmated,KQ,Value,2,2,4
8,247,241,Mated,KQ,Value,3,5,2
8,254,242,Nonmated,KQ,Value,1,1,1
8,254,243,Nonmated,KQ,Value,1,1,1
8,263,244,Nonmated,KQ,Value,2,3,3
8,264,245,Nonmated,KQ,Value,2,3,5
8,288,246,Nonmated,KQ,Value,2,3,3
8,290,247,Nonmated,KQ,Value,2,2,3
8,294,248,Nonmated,KQ,Value,2,3,3
8,296,249,Nonmated,KQ,Value,2,2,2
8,297,250,Mated,KQ,Value,3,5,3
8,303,251,Nonmated,KQ,Value,2,3,3
8,304,252,Nonmated,KQ,Value,2,3,5
8,308,253,Nonmated,KQ,Value,2,3,4
8,325,254,Nonmated,KQ,Value,1,1,3
8,345,255,Nonmated,KQ,Value,2,3,5
8,361,256,Nonmated,KQ,Value,2,3,4
8,376,257,Nonmated,KQ,Value,2,3,5
8,383,258,Mated,KQ,Value,2,3,5
8,413,259,Nonmated,KQ,Value,2,3,3
8,422,260,Mated,KQ,Value,2,3,5
8,422,261,Mated,KQ,Value,2,3,5
8,432,262,Nonmated,KQ,Value,2,3,4
8,432,263,Nonmated,KQ,Value,2,3,4
8,440,264,Nonmated,KQ,Value,2,4,5
8,470,265,Nonmated,KQ,Value,2,3,3
8,482,266,Nonmated,KQ,Value,1,1,1
8,520,267,Mated,KQ,Value,3,5,3
8,526,268,Nonmated,KQ,Value,2,3,3
8,527,269,Nonmated,KQ,Value,2,3,4
8,537,270,Nonmated,KQ,Value,2,2,3
8,542,271,Nonmated,KQ,Value,2,3,4
8,548,272,Nonmated,KQ,Value,1,1,1
8,564,273,Nonmated,KQ,Value,2,3,5
8,579,274,Mated,KQ,Value,2,3,5
8,600,275,Nonmated,KQ,Value,2,3,4
8,606,276,Mated,KQ,Value,3,5,1
8,608,277,Mated,KQ,Value,3,5,1
8,610,278,Mated,KQ,Value,3,5,4
8,619,279,Mated,KQ,Value,3,5,1
9,5,280,Mated,KQ,Value,2,4,4
9,46,281,Mated,KQ,Value,2,4,4
9,49,282,Nonmated,KQ,Value,2,3,4
9,216,283,Nonmated,KQ,Value,2,3,4
9,235,284,Nonmated,KQ,Value,2,2,4
9,325,285,Nonmated,KQ,Value,2,4,3
9,406,286,Nonmated,KQ,Value,2,2,4
9,522,287,Nonmated,KQ,Value,2,2,3
9,574,288,Nonmated,KQ,Value,2,2,3
9,619,289,Mated,KQ,Value,3,5,1
10,6,290,Mated,KQ,Value,3,5,3
10,26,291,Nonmated,KQ,Value,2,2,3
10,51,292,Nonmated,KQ,Value,1,1,4
10,57,293,Nonmated,KQ,Value,2,2,3
10,94,294,Nonmated,KQ,Value,2,3,3
10,106,295,Mated,KQ,Value,2,2,3
10,114,296,Nonmated,KQ,NV,NA,NA,NA
10,144,297,Nonmated,KQ,NV,NA,NA,NA
10,150,298,Nonmated,KQ,Value,2,3,4
10,151,299,Mated,KQ,Value,3,5,3
10,178,300,Mated,KQ,Value,2,4,4
10,208,301,Nonmated,KQ,Value,2,3,3
10,214,302,Nonmated,KQ,Value,1,1,2
10,220,303,Nonmated,KQ,Value,3,5,3
10,225,304,Mated,KQ,Value,3,5,3
10,232,305,Nonmated,KQ,Value,1,1,3
10,263,306,Nonmated,KQ,Value,2,2,4
10,270,307,Nonmated,KQ,Value,1,1,3
10,272,308,Nonmated,KQ,Value,1,1,3
10,273,309,Nonmated,KQ,Value,2,3,4
10,273,310,Nonmated,KQ,Value,2,2,5
10,284,311,Mated,KQ,Value,3,5,3
10,284,312,Mated,KQ,Value,3,5,4
10,301,313,Mated,KQ,Value,2,3,4
10,301,314,Mated,KQ,Value,2,4,5
10,303,315,Nonmated,KQ,Value,1,1,3
10,329,316,Nonmated,KQ,Value,1,1,3
10,361,317,Nonmated,KQ,Value,2,3,3
10,364,318,Nonmated,KQ,Value,1,1,3
10,365,319,Mated,KQ,Value,2,4,4
10,367,320,Mated,KQ,Value,3,5,3
10,367,321,Mated,KQ,Value,3,5,3
10,369,322,Mated,KQ,NV,NA,NA,NA
10,392,323,Nonmated,KQ,Value,1,1,3
10,395,324,Mated,KQ,NV,NA,NA,NA
10,399,325,Nonmated,KQ,Value,3,5,3
10,414,326,Nonmated,KQ,Value,2,2,4
10,418,327,Nonmated,KQ,Value,2,4,4
10,479,328,Nonmated,KQ,Value,1,1,3
10,493,329,Nonmated,KQ,Value,2,2,3
10,520,330,Mated,KQ,Value,3,5,3
10,563,331,Mated,KQ,Value,3,5,4
10,572,332,Nonmated,KQ,Value,2,2,4
10,575,333,Nonmated,KQ,Value,2,2,3
10,597,334,Mated,KQ,Value,3,5,3
10,610,335,Mated,KQ,Value,3,5,3
10,613,336,Nonmated,KQ,Value,2,4,3
10,613,337,Nonmated,KQ,Value,3,5,4
10,614,338,Nonmated,KQ,Value,2,2,3
10,618,339,Nonmated,KQ,Value,2,2,4
11,5,340,Mated,KQ,Value,2,3,5
11,13,341,Mated,KQ,Value,2,3,3
11,46,342,Mated,KQ,Value,3,5,1
11,59,343,Nonmated,KQ,Value,2,3,5
11,62,344,Nonmated,KQ,Value,2,3,3
11,87,345,Nonmated,KQ,Value,2,2,3
11,123,346,Mated,KQ,Value,3,5,1
11,134,347,Nonmated,KQ,Value,2,2,2
11,156,348,Nonmated,KQ,Value,2,3,5
11,163,349,Mated,KQ,Value,2,3,5
11,174,350,Nonmated,KQ,Value,2,3,3
11,179,351,Nonmated,KQ,Value,2,2,3
11,181,352,Nonmated,KQ,Value,2,3,3
11,207,353,Nonmated,KQ,Value,2,2,3
11,235,354,Nonmated,KQ,Value,2,2,4
11,255,355,Nonmated,KQ,Value,1,1,1
11,277,356,Nonmated,KQ,Value,1,1,1
11,300,357,Nonmated,KQ,Value,2,2,3
11,325,358,Nonmated,KQ,Value,2,2,4
11,464,359,Nonmated,KQ,Value,2,3,3
11,491,360,Nonmated,KQ,Value,2,3,3
11,546,361,Nonmated,KQ,Value,2,2,3
11,555,362,Nonmated,KQ,Value,2,3,5
11,615,363,Nonmated,KQ,Value,2,3,3
11,619,364,Mated,KQ,Value,3,5,1
12,15,365,Mated,KQ,Value,3,5,2
12,23,366,Nonmated,KQ,Value,1,1,1
12,26,367,Nonmated,KQ,Value,2,3,4
12,39,368,Mated,KQ,Value,3,5,2
12,41,369,Mated,KQ,Value,3,5,1
12,41,370,Mated,KQ,Value,3,5,2
12,65,371,Nonmated,KQ,Value,2,4,4
12,66,372,Mated,KQ,Value,2,4,5
12,69,373,Nonmated,KQ,Value,2,3,4
12,70,374,Mated,KQ,Value,3,5,4
12,83,375,Nonmated,KQ,Value,2,3,4
12,92,376,Mated,KQ,Value,3,5,2
12,118,377,Mated,KQ,Value,3,5,2
12,149,378,Nonmated,KQ,Value,2,2,4
12,170,379,Mated,KQ,Value,3,5,3
12,170,380,Mated,KQ,Value,3,5,4
12,257,381,Nonmated,KQ,Value,2,3,4
12,258,382,Nonmated,KQ,Value,2,4,5
12,274,383,Nonmated,KQ,Value,2,2,4
12,276,384,Nonmated,KQ,Value,1,1,2
12,330,385,Nonmated,KQ,Value,2,3,4
12,337,386,Mated,KQ,Value,3,5,1
12,360,387,Mated,KQ,Value,3,5,2
12,394,388,Nonmated,KQ,Value,2,3,4
12,395,389,Mated,KQ,Value,2,3,5
12,398,390,Mated,KQ,Value,3,5,3
12,398,391,Mated,KQ,Value,3,5,2
12,408,392,Nonmated,KQ,Value,1,1,3
12,420,393,Nonmated,KQ,Value,1,1,4
12,426,394,Nonmated,KQ,Value,2,3,5
12,444,395,Nonmated,KQ,Value,2,2,3
12,448,396,Nonmated,KQ,Value,2,3,4
12,481,397,Nonmated,KQ,Value,1,1,3
12,489,398,Nonmated,KQ,Value,2,4,5
12,490,399,Nonmated,KQ,Value,2,3,5
12,493,400,Nonmated,KQ,Value,2,2,3
12,496,401,Nonmated,KQ,Value,2,3,5
12,497,402,Nonmated,KQ,Value,2,2,4
12,497,403,Nonmated,KQ,Value,1,1,3
12,498,404,Nonmated,KQ,Value,2,3,4
12,524,405,Nonmated,KQ,Value,2,3,4
12,551,406,Mated,KQ,Value,3,5,4
12,563,407,Mated,KQ,Value,3,5,2
12,567,408,Mated,KQ,Value,2,3,4
12,575,409,Nonmated,KQ,Value,1,1,4
12,580,410,Nonmated,KQ,Value,1,1,1
12,591,411,Nonmated,KQ,Value,1,1,3
12,603,412,Nonmated,KQ,Value,2,2,4
12,603,413,Nonmated,KQ,Value,1,1,3
12,604,414,Nonmated,KQ,Value,2,3,4
13,2,415,Nonmated,KQ,Value,2,3,3
13,11,416,Mated,KQ,Value,3,5,3
13,18,417,Mated,KQ,Value,3,5,4
13,32,418,Nonmated,KQ,Value,2,3,4
13,41,419,Mated,KQ,Value,2,4,2
13,49,420,Nonmated,KQ,Value,2,3,3
13,49,421,Nonmated,KQ,Value,2,3,3
13,120,422,Nonmated,KQ,Value,1,1,1
13,128,423,Mated,KQ,Value,3,5,4
13,145,424,Nonmated,KQ,Value,2,3,3
13,162,425,Nonmated,KQ,Value,1,1,3
13,165,426,Mated,KQ,Value,3,5,2
13,170,427,Mated,KQ,Value,2,3,3
13,172,428,Nonmated,KQ,Value,1,1,3
13,192,429,Nonmated,KQ,Value,2,3,4
13,204,430,Nonmated,KQ,Value,1,1,1
13,210,431,Nonmated,KQ,Value,1,1,3
13,212,432,Mated,KQ,Value,3,5,2
13,213,433,Nonmated,KQ,Value,2,3,4
13,216,434,Nonmated,KQ,Value,1,1,3
13,216,435,Nonmated,KQ,Value,1,1,3
13,217,436,Nonmated,KQ,Value,2,3,4
13,250,437,Nonmated,KQ,Value,2,3,4
13,252,438,Nonmated,KQ,Value,1,1,3
13,291,439,Mated,KQ,Value,3,5,4
13,295,440,Mated,KQ,Value,3,5,3
13,336,441,Mated,KQ,Value,3,5,2
13,353,442,Nonmated,KQ,Value,1,1,3
13,355,443,Mated,KQ,Value,3,5,2
13,366,444,Nonmated,KQ,Value,2,3,3
13,398,445,Mated,KQ,Value,3,5,2
13,405,446,Nonmated,KQ,Value,1,1,3
13,406,447,Nonmated,KQ,Value,1,1,3
13,406,448,Nonmated,KQ,Value,1,1,4
13,415,449,Nonmated,KQ,Value,2,3,3
13,431,450,Nonmated,KQ,Value,1,1,3
13,453,451,Nonmated,KQ,Value,2,2,4
13,456,452,Mated,KQ,Value,3,5,3
13,457,453,Nonmated,KQ,Value,2,3,4
13,488,454,Nonmated,KQ,Value,1,1,1
13,497,455,Nonmated,KQ,Value,2,3,3
13,518,456,Mated,KQ,Value,3,5,3
13,521,457,Mated,KQ,Value,3,5,3
13,522,458,Nonmated,KQ,Value,1,1,3
13,522,459,Nonmated,KQ,Value,1,1,3
13,543,460,Nonmated,KQ,Value,1,1,3
13,574,461,Nonmated,KQ,Value,1,1,3
13,574,462,Nonmated,KQ,Value,1,1,3
13,590,463,Nonmated,KQ,Value,2,3,4
13,603,464,Nonmated,KQ,Value,1,1,3
14,6,465,Mated,KQ,Value,3,5,1
14,12,466,Nonmated,KQ,Value,2,3,3
14,18,467,Mated,KQ,Value,2,3,4
14,44,468,Nonmated,KQ,Value,2,3,3
14,80,469,Mated,KQ,Value,2,4,4
14,102,470,Nonmated,KQ,Value,2,3,4
14,109,471,Nonmated,KQ,Value,2,3,5
14,114,472,Nonmated,KQ,Value,2,3,4
14,132,473,Mated,KQ,Value,3,5,1
14,203,474,Nonmated,KQ,Value,2,3,4
14,206,475,Mated,KQ,Value,3,5,2
14,214,476,Nonmated,KQ,Value,1,1,1
14,240,477,Nonmated,KQ,Value,2,2,3
14,266,478,Nonmated,KQ,Value,1,1,1
14,292,479,Nonmated,KQ,Value,2,3,4
14,312,480,Mated,KQ,Value,3,5,1
14,336,481,Mated,KQ,Value,3,5,2
14,339,482,Nonmated,KQ,Value,2,2,3
14,342,483,Mated,KQ,Value,2,3,4
14,348,484,Nonmated,KQ,Value,2,2,4
14,390,485,Nonmated,KQ,Value,2,4,4
14,399,486,Nonmated,KQ,Value,2,3,4
14,418,487,Nonmated,KQ,Value,2,3,4
14,439,488,Mated,KQ,Value,3,5,3
14,453,489,Nonmated,KQ,Value,2,3,4
14,457,490,Nonmated,KQ,Value,2,2,4
14,458,491,Nonmated,KQ,Value,2,3,4
14,468,492,Nonmated,KQ,Value,2,3,3
14,486,493,Nonmated,KQ,Value,2,2,3
14,521,494,Mated,KQ,Value,3,5,4
14,525,495,Mated,KQ,Value,2,4,4
14,538,496,Nonmated,KQ,Value,2,3,4
14,552,497,Nonmated,KQ,Value,2,3,4
14,602,498,Nonmated,KQ,Value,2,3,4
14,611,499,Mated,KQ,Value,2,3,4
15,32,500,Nonmated,KQ,Value,2,3,4
15,53,501,Mated,KQ,Value,3,5,3
15,61,502,Nonmated,KQ,Value,2,4,3
15,128,503,Mated,KQ,Value,3,5,3
15,138,504,Nonmated,KQ,Value,1,1,2
15,139,505,Nonmated,KQ,Value,2,4,3
15,169,506,Nonmated,KQ,Value,1,1,3
15,194,507,Nonmated,KQ,Value,1,1,1
15,198,508,Nonmated,KQ,Value,2,4,3
15,200,509,Nonmated,KQ,Value,1,1,3
15,202,510,Nonmated,KQ,Value,1,1,3
15,204,511,Nonmated,KQ,Value,1,1,1
15,245,512,Nonmated,KQ,Value,1,1,3
15,291,513,Mated,KQ,Value,3,5,3
15,305,514,Nonmated,KQ,Value,1,1,3
15,323,515,Mated,KQ,Value,3,5,1
15,347,516,Nonmated,KQ,Value,2,4,3
15,355,517,Mated,KQ,Value,3,5,3
15,373,518,Mated,KQ,Value,2,3,3
15,401,519,Mated,KQ,Value,3,5,1
15,443,520,Nonmated,KQ,Value,2,3,3
15,465,521,Nonmated,KQ,Value,1,1,3
15,466,522,Nonmated,KQ,Value,1,1,3
15,536,523,Mated,KQ,Value,3,5,2
15,571,524,Nonmated,KQ,Value,1,1,3
16,23,525,Nonmated,KQ,Value,1,1,1
16,34,526,Mated,KQ,NV,NA,NA,NA
16,38,527,Nonmated,KQ,Value,1,1,4
16,55,528,Nonmated,KQ,NV,NA,NA,NA
16,55,529,Nonmated,KQ,Value,2,3,4
16,72,530,Mated,KQ,NV,NA,NA,NA
16,80,531,Mated,KQ,NV,NA,NA,NA
16,105,532,Mated,KQ,NV,NA,NA,NA
16,109,533,Nonmated,KQ,NV,NA,NA,NA
16,140,534,Mated,KQ,Value,3,5,1
16,140,535,Mated,KQ,Value,3,5,2
16,149,536,Nonmated,KQ,Value,1,1,2
16,153,537,Nonmated,KQ,Value,1,1,1
16,159,538,Nonmated,KQ,Value,2,3,4
16,168,539,Nonmated,KQ,NV,NA,NA,NA
16,176,540,Mated,KQ,NV,NA,NA,NA
16,229,541,Nonmated,KQ,Value,2,3,4
16,230,542,Nonmated,KQ,NV,NA,NA,NA
16,239,543,Nonmated,KQ,Value,1,1,1
16,247,544,Mated,KQ,Value,3,5,3
16,266,545,Nonmated,KQ,Value,1,1,1
16,267,546,Mated,KQ,NV,NA,NA,NA
16,267,547,Mated,KQ,Value,3,5,4
16,269,548,Mated,KQ,Value,3,5,2
16,278,549,Mated,KQ,Value,3,5,3
16,285,550,Mated,KQ,Value,3,5,1
16,308,551,Nonmated,KQ,NV,NA,NA,NA
16,313,552,Nonmated,KQ,Value,2,4,4
16,339,553,Nonmated,KQ,Value,1,1,1
16,346,554,Nonmated,KQ,NV,NA,NA,NA
16,371,555,Mated,KQ,Value,3,5,4
16,377,556,Nonmated,KQ,Value,1,1,3
16,384,557,Nonmated,KQ,Value,1,1,2
16,388,558,Nonmated,KQ,Value,2,3,3
16,394,559,Nonmated,KQ,NV,NA,NA,NA
16,396,560,Nonmated,KQ,Value,1,1,2
16,417,561,Nonmated,KQ,Value,1,1,4
16,427,562,Nonmated,KQ,Value,2,3,4
16,458,563,Nonmated,KQ,NV,NA,NA,NA
16,462,564,Nonmated,KQ,NV,NA,NA,NA
16,462,565,Nonmated,KQ,Value,2,3,4
16,482,566,Nonmated,KQ,Value,1,1,1
16,507,567,Mated,KQ,Value,3,5,3
16,513,568,Mated,KQ,NV,NA,NA,NA
