exID,pairID,responseID,ground_truth,value_decision,response3,response5,response7,reported_difficulty
1,218,73,Mated,1A_Value,3,5,7,2
1,219,74,Nonmated,1A_Value,2,2,2,4
1,221,75,Nonmated,1A_Value,2,4,5,4
1,261,76,Nonmated,1A_Value,2,4,5,3
1,226,77,Nonmated,1A_Value,2,2,2,5
1,272,78,Mated,1A_Value,3,5,7,3
1,230,79,Mated,1A_Value,3,5,7,2
1,232,80,Mated,1A_Value,3,5,7,3
1,238,81,Nonmated,1A_Value,2,4,5,3
1,239,82,Nonmated,1A_Value,2,2,2,4
1,240,83,Mated,1A_Value,2,4,5,3
1,242,84,Nonmated,1A_Value,2,3,4,4
1,243,85,Mated,1A_Value,3,5,7,1
1,250,86,Mated,1A_Value,3,5,7,3
1,253,87,Nonmated,1A_Value,2,4,5,2
1,256,88,Mated,1A_Value,3,5,7,1
1,257,89,Nonmated,1A_Value,2,2,2,5
1,259,90,Mated,1A_Value,3,5,7,3
1,262,91,Nonmated,1A_Value,1,1,1,1
1,265,92,Nonmated,1A_Value,1,1,1,3
1,278,93,Mated,1A_Value,3,5,7,1
1,283,94,Nonmated,1A_Value,1,1,1,2
1,284,95,Nonmated,1A_Value,2,4,5,3
1,288,96,Mated,1A_Value,3,5,7,3
1,293,97,Mated,1A_Value,2,4,5,2
1,295,98,Nonmated,1A_Value,2,4,5,3
1,298,99,Mated,1A_Value,3,5,7,2
1,299,100,Nonmated,1A_Value,2,3,4,4
2,6,101,Nonmated,1A_Value,1,1,1,3
2,15,102,Mated,1A_Value,2,3,4,3
2,43,103,Mated,1A_Value,1,1,1,2
2,36,104,Nonmated,1A_Value,1,1,1,3
2,57,105,Nonmated,1A_Value,1,1,1,2
2,67,106,Mated,1A_Value,2,4,5,3
2,80,107,Nonmated,1A_Value,1,1,1,1
2,92,108,Mated,1A_Value,3,5,7,2
2,180,109,Mated,1A_Value,3,5,7,3
2,118,110,Nonmated,1A_Value,1,1,1,2
2,146,111,Mated,1A_Value,2,4,5,2
2,228,112,Mated,1A_Value,2,2,2,3
2,183,113,Nonmated,1A_Value,2,2,2,4
2,186,114,Nonmated,1A_Value,1,1,1,2
2,189,115,Nonmated,1A_Value,1,1,1,3
2,199,116,Nonmated,1A_Value,2,3,4,3
2,227,117,Nonmated,1B_NoValue,NA,NA,NA,NA
2,236,118,Nonmated,1A_Value,2,2,3,3
2,292,119,Nonmated,1B_NoValue,NA,NA,NA,NA
2,297,120,Mated,1A_Value,2,2,2,3
3,2,121,Nonmated,1A_Value,2,4,5,3
3,5,122,Nonmated,1A_Value,2,4,5,3
3,8,123,Nonmated,1A_Value,1,1,1,1
3,9,124,Mated,1A_Value,3,5,7,2
3,13,125,Mated,1A_Value,2,2,3,2
3,17,126,Mated,1A_Value,2,4,5,3
3,18,127,Nonmated,1A_Value,2,2,2,4
3,21,128,Nonmated,1A_Value,1,1,1,2
3,28,129,Nonmated,1A_Value,2,2,3,4
3,31,130,Nonmated,1A_Value,2,2,3,2
3,192,131,Mated,1A_Value,2,4,6,2
3,35,132,Mated,1A_Value,2,4,5,2
3,37,133,Nonmated,1A_Value,2,4,5,3
3,132,134,Nonmated,1A_Value,2,2,3,4
3,52,135,Nonmated,1A_Value,2,2,3,4
3,54,136,Mated,1A_Value,2,2,2,2
3,55,137,Nonmated,1A_Value,1,1,1,1
3,59,138,Nonmated,1A_Value,2,4,5,3
3,64,139,Nonmated,1A_Value,2,3,4,2
3,65,140,Nonmated,1A_Value,2,4,5,2
3,74,141,Nonmated,1A_Value,1,1,1,2
3,75,142,Nonmated,1A_Value,1,1,1,3
3,81,143,Nonmated,1A_Value,3,5,7,3
3,84,144,Nonmated,1A_Value,2,4,5,3
3,88,145,Nonmated,1A_Value,2,2,3,2
3,97,146,Nonmated,1A_Value,1,1,1,4
3,103,147,Nonmated,1A_Value,2,3,4,3
3,105,148,Mated,1A_Value,2,4,6,2
3,109,149,Nonmated,1A_Value,1,1,1,1
3,113,150,Mated,1A_Value,2,2,3,2
3,122,151,Nonmated,1A_Value,1,1,1,1
3,123,152,Nonmated,1A_Value,2,4,5,2
3,125,153,Mated,1A_Value,3,5,7,2
3,127,154,Nonmated,1A_Value,2,2,3,3
3,128,155,Nonmated,1A_Value,2,4,5,3
3,130,156,Mated,1A_Value,2,3,4,3
3,131,157,Nonmated,1A_Value,2,4,5,3
3,291,158,Mated,1A_Value,2,3,4,3
3,133,159,Mated,1A_Value,2,4,6,4
3,135,160,Mated,1A_Value,2,4,5,3
3,137,161,Mated,1A_Value,2,2,3,3
3,138,162,Nonmated,1A_Value,2,2,3,2
3,144,163,Mated,1A_Value,2,4,6,2
3,150,164,Mated,1A_Value,3,5,7,1
3,151,165,Mated,1A_Value,2,4,6,2
3,152,166,Mated,1A_Value,2,4,5,2
3,153,167,Nonmated,1A_Value,1,1,1,3
3,155,168,Mated,1A_Value,3,5,7,3
3,280,169,Mated,1A_Value,2,4,6,3
3,160,170,Mated,1A_Value,3,5,7,2
3,162,171,Mated,1A_Value,2,2,3,2
3,163,172,Mated,1A_Value,2,2,3,3
3,166,173,Nonmated,1A_Value,2,4,5,3
3,167,174,Mated,1A_Value,2,4,6,2
3,168,175,Nonmated,1A_Value,1,1,1,1
3,169,176,Nonmated,1A_Value,2,2,3,4
3,178,177,Mated,1A_Value,2,4,6,3
3,179,178,Nonmated,1A_Value,2,2,2,3
3,279,179,Nonmated,1A_Value,2,2,3,3
3,193,180,Nonmated,1A_Value,2,2,3,3
3,194,181,Nonmated,1A_Value,1,1,1,2
3,197,182,Nonmated,1A_Value,1,1,1,2
3,198,183,Mated,1A_Value,2,4,5,2
3,202,184,Nonmated,1A_Value,2,4,5,3
3,203,185,Nonmated,1A_Value,2,2,3,3
3,204,186,Nonmated,1A_Value,2,4,5,2
3,205,187,Nonmated,1A_Value,2,3,4,3
3,206,188,Mated,1A_Value,2,2,3,4
3,207,189,Nonmated,1A_Value,2,3,4,4
3,209,190,Nonmated,1A_Value,2,4,5,3
3,285,191,Nonmated,1A_Value,2,2,3,2
3,215,192,Nonmated,1B_NoValue,NA,NA,NA,NA
3,218,193,Mated,1A_Value,3,5,7,2
3,221,194,Nonmated,1A_Value,2,2,3,3
3,219,195,Nonmated,1A_Value,2,2,2,2
3,226,196,Nonmated,1A_Value,2,4,5,2
3,261,197,Nonmated,1A_Value,2,4,5,2
3,230,198,Mated,1A_Value,2,4,5,3
3,272,199,Mated,1A_Value,2,4,6,2
3,232,200,Mated,1A_Value,3,5,7,1
3,238,201,Nonmated,1A_Value,1,1,1,1
3,239,202,Nonmated,1A_Value,2,4,5,2
3,240,203,Mated,1A_Value,2,4,5,3
3,242,204,Nonmated,1A_Value,2,2,2,3
3,243,205,Mated,1A_Value,3,5,7,1
3,250,206,Mated,1A_Value,3,5,7,2
3,253,207,Nonmated,1A_Value,2,4,6,3
3,256,208,Mated,1A_Value,3,5,7,1
3,257,209,Nonmated,1A_Value,2,4,5,3
3,259,210,Mated,1A_Value,2,4,6,2
3,262,211,Nonmated,1A_Value,1,1,1,1
3,265,212,Nonmated,1B_NoValue,NA,NA,NA,NA
3,278,213,Mated,1A_Value,3,5,7,2
3,283,214,Nonmated,1A_Value,2,2,2,3
3,284,215,Nonmated,1A_Value,2,2,3,3
3,288,216,Mated,1A_Value,2,4,6,3
3,293,217,Mated,1A_Value,2,4,6,3
3,295,218,Nonmated,1A_Value,1,1,1,1
3,298,219,Mated,1A_Value,3,5,7,1
3,299,220,Nonmated,1A_Value,2,4,5,2
4,6,221,Nonmated,1A_Value,2,2,3,3
4,11,222,Nonmated,1A_Value,2,4,5,2
4,43,223,Mated,1A_Value,3,5,7,3
4,23,224,Nonmated,1A_Value,1,1,1,2
4,25,225,Mated,1A_Value,2,4,5,3
4,26,226,Nonmated,1A_Value,2,2,2,4
4,27,227,Nonmated,1A_Value,1,1,1,3
4,29,228,Nonmated,1A_Value,2,2,3,4
4,33,229,Mated,1A_Value,2,4,6,4
4,42,230,Mated,1A_Value,3,5,7,2
4,67,231,Mated,1A_Value,2,4,6,3
4,85,232,Nonmated,1A_Value,2,4,5,3
4,86,233,Mated,1A_Value,3,5,7,2
4,90,234,Nonmated,1A_Value,1,1,1,2
4,92,235,Mated,1A_Value,3,5,7,2
4,107,236,Mated,1A_Value,2,4,6,4
4,110,237,Nonmated,1A_Value,2,2,3,4
4,180,238,Mated,1A_Value,3,5,7,3
4,121,239,Nonmated,1A_Value,2,4,5,4
4,134,240,Nonmated,1A_Value,2,2,2,4
4,142,241,Mated,1A_Value,2,4,5,4
4,146,242,Mated,1A_Value,2,4,5,3
4,228,243,Mated,1A_Value,2,4,5,3
4,156,244,Mated,1A_Value,3,5,7,3
4,170,245,Mated,1A_Value,2,2,3,2
4,183,246,Nonmated,1A_Value,2,2,3,4
4,189,247,Nonmated,1A_Value,2,2,2,4
4,191,248,Nonmated,1A_Value,1,1,1,4
4,199,249,Nonmated,1A_Value,2,4,5,3
4,233,250,Nonmated,1A_Value,2,2,3,4
4,241,251,Mated,1A_Value,2,4,5,4
4,244,252,Mated,1A_Value,3,5,7,2
4,264,253,Nonmated,1A_Value,2,4,6,4
4,266,254,Nonmated,1A_Value,2,2,3,2
4,269,255,Mated,1A_Value,2,4,5,4
4,270,256,Mated,1A_Value,2,4,6,4
4,271,257,Nonmated,1A_Value,1,1,1,3
4,287,258,Mated,1A_Value,3,5,7,4
4,289,259,Mated,1A_Value,2,4,6,4
4,290,260,Nonmated,1A_Value,2,4,5,3
5,2,261,Nonmated,1A_Value,2,2,3,5
5,5,262,Nonmated,1B_NoValue,NA,NA,NA,NA
5,8,263,Nonmated,1A_Value,1,1,1,2
5,9,264,Mated,1A_Value,2,4,5,3
5,13,265,Mated,1A_Value,2,2,3,3
5,17,266,Mated,1A_Value,2,4,5,3
5,18,267,Nonmated,1A_Value,2,3,4,4
5,21,268,Nonmated,1A_Value,1,1,1,3
5,28,269,Nonmated,1A_Value,1,1,1,3
5,31,270,Nonmated,1A_Value,2,2,3,3
5,192,271,Mated,1A_Value,2,4,5,3
5,35,272,Mated,1A_Value,2,4,5,3
5,37,273,Nonmated,1A_Value,2,2,2,3
5,132,274,Nonmated,1A_Value,2,2,3,4
5,52,275,Nonmated,1A_Value,1,1,1,3
5,54,276,Mated,1A_Value,1,1,1,3
5,55,277,Nonmated,1A_Value,1,1,1,3
5,59,278,Nonmated,1A_Value,2,2,3,3
5,64,279,Nonmated,1A_Value,2,2,2,4
5,65,280,Nonmated,1A_Value,2,4,5,3
5,74,281,Nonmated,1A_Value,1,1,1,3
5,75,282,Nonmated,1A_Value,1,1,1,3
5,81,283,Nonmated,1A_Value,1,1,1,3
5,84,284,Nonmated,1A_Value,1,1,1,3
5,88,285,Nonmated,1A_Value,1,1,1,4
5,97,286,Nonmated,1A_Value,1,1,1,3
5,103,287,Nonmated,1A_Value,1,1,1,2
5,105,288,Mated,1A_Value,2,2,3,4
5,109,289,Nonmated,1A_Value,1,1,1,1
5,113,290,Mated,1B_NoValue,NA,NA,NA,NA
5,122,291,Nonmated,1A_Value,1,1,1,1
5,123,292,Nonmated,1A_Value,2,4,5,3
5,125,293,Mated,1A_Value,1,1,1,4
5,127,294,Nonmated,1A_Value,2,2,2,3
5,128,295,Nonmated,1B_NoValue,NA,NA,NA,NA
5,130,296,Mated,1A_Value,2,2,3,3
5,131,297,Nonmated,1A_Value,1,1,1,3
5,291,298,Mated,1A_Value,2,4,6,3
5,133,299,Mated,1A_Value,2,4,5,3
5,135,300,Mated,1A_Value,2,2,3,3
5,137,301,Mated,1A_Value,2,2,2,3
5,138,302,Nonmated,1A_Value,2,3,4,4
5,144,303,Mated,1A_Value,2,4,6,3
5,150,304,Mated,1A_Value,2,4,6,3
5,151,305,Mated,1A_Value,2,2,3,3
5,152,306,Mated,1A_Value,2,4,6,3
5,153,307,Nonmated,1A_Value,1,1,1,3
5,155,308,Mated,1A_Value,2,2,3,4
5,280,309,Mated,1A_Value,2,2,3,3
5,160,310,Mated,1A_Value,2,4,6,3
5,162,311,Mated,1A_Value,2,4,5,3
5,163,312,Mated,1A_Value,2,4,5,3
5,166,313,Nonmated,1A_Value,1,1,1,3
5,167,314,Mated,1A_Value,3,5,7,2
5,168,315,Nonmated,1A_Value,1,1,1,2
5,169,316,Nonmated,1A_Value,2,3,4,5
5,178,317,Mated,1A_Value,2,2,3,3
5,179,318,Nonmated,1A_Value,1,1,1,3
5,279,319,Nonmated,1A_Value,1,1,1,3
5,193,320,Nonmated,1A_Value,2,2,3,4
5,194,321,Nonmated,1A_Value,1,1,1,3
5,197,322,Nonmated,1B_NoValue,NA,NA,NA,NA
5,198,323,Mated,1A_Value,2,2,3,3
5,202,324,Nonmated,1A_Value,2,2,2,3
5,203,325,Nonmated,1A_Value,2,2,3,4
5,204,326,Nonmated,1A_Value,2,2,3,4
5,205,327,Nonmated,1A_Value,1,1,1,3
5,206,328,Mated,1B_NoValue,NA,NA,NA,NA
5,207,329,Nonmated,1A_Value,1,1,1,3
5,209,330,Nonmated,1A_Value,1,1,1,3
5,285,331,Nonmated,1A_Value,1,1,1,3
5,215,332,Nonmated,1A_Value,2,2,3,3
5,218,333,Mated,1A_Value,1,1,1,3
5,221,334,Nonmated,1A_Value,1,1,1,3
5,219,335,Nonmated,1A_Value,2,4,5,3
5,226,336,Nonmated,1A_Value,2,2,3,3
5,261,337,Nonmated,1A_Value,2,2,2,4
5,230,338,Mated,1A_Value,1,1,1,3
5,272,339,Mated,1A_Value,2,2,3,3
5,232,340,Mated,1A_Value,2,4,6,3
5,238,341,Nonmated,1A_Value,1,1,1,3
5,239,342,Nonmated,1A_Value,2,3,4,4
5,240,343,Mated,1A_Value,2,2,3,4
5,242,344,Nonmated,1A_Value,2,2,3,4
5,243,345,Mated,1A_Value,3,5,7,2
5,250,346,Mated,1A_Value,2,2,3,4
5,253,347,Nonmated,1A_Value,2,4,6,2
5,256,348,Mated,1A_Value,2,4,6,3
5,257,349,Nonmated,1A_Value,2,2,2,4
5,259,350,Mated,1A_Value,2,4,5,2
5,262,351,Nonmated,1A_Value,1,1,1,1
5,265,352,Nonmated,1B_NoValue,NA,NA,NA,NA
5,278,353,Mated,1A_Value,3,5,7,3
5,283,354,Nonmated,1A_Value,1,1,1,2
5,284,355,Nonmated,1A_Value,2,3,4,4
5,288,356,Mated,1A_Value,2,2,3,3
5,293,357,Mated,1A_Value,2,2,2,4
5,295,358,Nonmated,1A_Value,2,2,3,5
5,298,359,Mated,1A_Value,3,5,7,2
5,299,360,Nonmated,1A_Value,1,1,1,3
6,1,361,Mated,1A_Value,3,5,7,3
6,2,362,Nonmated,1A_Value,2,2,3,4
6,5,363,Nonmated,1A_Value,2,2,3,4
6,8,364,Nonmated,1A_Value,1,1,1,1
6,9,365,Mated,1A_Value,2,4,6,3
6,12,366,Nonmated,1A_Value,1,1,1,2
6,16,367,Nonmated,1A_Value,1,1,1,3
6,17,368,Mated,1A_Value,2,4,5,2
6,19,369,Nonmated,1A_Value,2,2,3,4
6,24,370,Mated,1A_Value,3,5,7,4
6,192,371,Mated,1A_Value,2,4,6,4
6,35,372,Mated,1A_Value,2,4,6,2
6,37,373,Nonmated,1A_Value,2,2,3,3
6,132,374,Nonmated,1A_Value,2,4,5,2
6,38,375,Mated,1A_Value,2,4,6,4
6,40,376,Mated,1A_Value,2,3,4,5
6,45,377,Mated,1A_Value,2,4,5,3
6,46,378,Nonmated,1A_Value,1,1,1,3
6,47,379,Nonmated,1A_Value,2,4,5,2
6,48,380,Nonmated,1A_Value,2,4,5,3
6,49,381,Nonmated,1A_Value,2,2,3,2
6,52,382,Nonmated,1A_Value,1,1,1,1
6,56,383,Nonmated,1A_Value,1,1,1,2
6,59,384,Nonmated,1A_Value,2,4,5,3
6,60,385,Mated,1A_Value,2,4,6,1
6,62,386,Nonmated,1A_Value,2,4,5,3
6,65,387,Nonmated,1A_Value,2,4,5,3
6,69,388,Mated,1A_Value,2,2,3,2
6,70,389,Mated,1A_Value,2,2,3,3
6,71,390,Nonmated,1A_Value,2,2,3,2
6,75,391,Nonmated,1A_Value,2,2,3,5
6,76,392,Nonmated,1A_Value,2,4,5,3
6,81,393,Nonmated,1A_Value,2,2,3,2
6,82,394,Nonmated,1A_Value,2,4,5,2
6,91,395,Mated,1A_Value,3,5,7,1
6,106,396,Nonmated,1A_Value,2,2,3,3
6,112,397,Mated,1A_Value,2,4,5,2
6,113,398,Mated,1A_Value,2,2,3,3
6,115,399,Nonmated,1A_Value,2,3,4,3
6,119,400,Mated,1A_Value,3,5,7,2
6,122,401,Nonmated,1A_Value,1,1,1,1
6,123,402,Nonmated,1A_Value,2,4,5,3
6,126,403,Nonmated,1A_Value,2,4,5,3
6,128,404,Nonmated,1A_Value,2,2,3,4
6,129,405,Nonmated,1A_Value,1,1,1,3
6,130,406,Mated,1A_Value,2,4,6,2
6,291,407,Mated,1A_Value,3,5,7,2
6,133,408,Mated,1A_Value,3,5,7,2
6,143,409,Mated,1A_Value,3,5,7,3
6,151,410,Mated,1A_Value,2,4,6,3
6,152,411,Mated,1A_Value,2,4,6,4
6,154,412,Nonmated,1A_Value,1,1,1,1
6,155,413,Mated,1A_Value,2,4,6,3
6,280,414,Mated,1A_Value,2,4,5,2
6,160,415,Mated,1A_Value,2,4,6,3
6,161,416,Nonmated,1A_Value,2,2,3,2
6,162,417,Mated,1A_Value,2,2,3,2
6,163,418,Mated,1A_Value,2,2,3,2
6,164,419,Mated,1A_Value,2,4,6,2
6,171,420,Mated,1A_Value,2,2,3,2
6,174,421,Nonmated,1A_Value,1,1,1,2
6,178,422,Mated,1A_Value,2,4,5,2
6,179,423,Nonmated,1A_Value,2,2,2,4
6,279,424,Nonmated,1A_Value,2,2,2,3
6,182,425,Nonmated,1A_Value,1,1,1,2
6,188,426,Nonmated,1A_Value,2,2,3,3
6,195,427,Mated,1A_Value,1,1,1,1
6,202,428,Nonmated,1A_Value,2,4,5,2
6,203,429,Nonmated,1A_Value,2,2,3,2
6,207,430,Nonmated,1A_Value,2,4,5,2
6,209,431,Nonmated,1A_Value,2,3,4,5
6,285,432,Nonmated,1A_Value,2,4,5,3
6,212,433,Mated,1A_Value,3,5,7,2
6,215,434,Nonmated,1A_Value,2,2,3,3
6,217,435,Nonmated,1A_Value,1,1,1,2
6,221,436,Nonmated,1A_Value,2,2,3,2
6,219,437,Nonmated,1A_Value,2,4,5,2
6,222,438,Nonmated,1A_Value,2,4,5,2
6,226,439,Nonmated,1A_Value,2,2,3,2
6,261,440,Nonmated,1A_Value,2,2,3,2
6,229,441,Mated,1A_Value,2,4,5,3
6,230,442,Mated,1A_Value,2,4,5,2
6,272,443,Mated,1A_Value,3,5,7,1
6,234,444,Nonmated,1A_Value,2,4,5,3
6,238,445,Nonmated,1A_Value,1,1,1,3
6,239,446,Nonmated,1A_Value,2,2,3,2
6,240,447,Mated,1A_Value,2,4,5,2
6,246,448,Nonmated,1A_Value,2,2,3,3
6,247,449,Nonmated,1A_Value,1,1,1,3
6,248,450,Mated,1A_Value,3,5,7,4
6,257,451,Nonmated,1A_Value,2,2,3,3
6,258,452,Mated,1A_Value,3,5,7,2
6,259,453,Mated,1A_Value,2,4,6,3
6,263,454,Nonmated,1A_Value,1,1,1,3
6,268,455,Nonmated,1A_Value,1,1,1,1
6,274,456,Mated,1A_Value,3,5,7,3
6,276,457,Nonmated,1A_Value,2,3,4,4
6,284,458,Nonmated,1A_Value,2,4,5,3
6,295,459,Nonmated,1A_Value,2,2,3,4
6,296,460,Nonmated,1A_Value,2,4,5,2
7,1,461,Mated,1A_Value,3,5,7,2
7,2,462,Nonmated,1A_Value,2,3,4,4
7,5,463,Nonmated,1A_Value,2,4,5,4
7,8,464,Nonmated,1A_Value,1,1,1,2
7,9,465,Mated,1A_Value,3,5,7,3
7,12,466,Nonmated,1A_Value,1,1,1,3
7,16,467,Nonmated,1A_Value,1,1,1,3
7,17,468,Mated,1A_Value,2,4,5,3
7,19,469,Nonmated,1A_Value,1,1,1,2
7,24,470,Mated,1A_Value,3,5,7,3
7,35,471,Mated,1A_Value,3,5,7,3
7,192,472,Mated,1A_Value,3,5,7,2
7,37,473,Nonmated,1A_Value,2,4,5,3
7,132,474,Nonmated,1A_Value,1,1,1,3
7,38,475,Mated,1A_Value,1,1,1,2
7,40,476,Mated,1A_Value,1,1,1,3
7,45,477,Mated,1A_Value,2,4,5,3
7,46,478,Nonmated,1A_Value,1,1,1,3
7,47,479,Nonmated,1A_Value,1,1,1,3
7,48,480,Nonmated,1A_Value,1,1,1,3
7,49,481,Nonmated,1A_Value,1,1,1,3
7,52,482,Nonmated,1A_Value,1,1,1,3
7,56,483,Nonmated,1A_Value,1,1,1,2
7,59,484,Nonmated,1A_Value,1,1,1,3
7,60,485,Mated,1A_Value,2,4,5,2
7,62,486,Nonmated,1A_Value,2,3,4,4
7,65,487,Nonmated,1A_Value,2,4,5,3
7,69,488,Mated,1A_Value,2,3,4,4
7,70,489,Mated,1A_Value,1,1,1,4
7,71,490,Nonmated,1B_NoValue,NA,NA,NA,NA
7,75,491,Nonmated,1A_Value,1,1,1,5
7,76,492,Nonmated,1A_Value,1,1,1,2
7,81,493,Nonmated,1A_Value,1,1,1,3
7,82,494,Nonmated,1A_Value,1,1,1,3
7,91,495,Mated,1A_Value,3,5,7,2
7,106,496,Nonmated,1A_Value,1,1,1,3
7,112,497,Mated,1A_Value,2,4,5,3
7,113,498,Mated,1A_Value,2,3,4,5
7,115,499,Nonmated,1B_NoValue,NA,NA,NA,NA
7,119,500,Mated,1A_Value,3,5,7,3
7,122,501,Nonmated,1A_Value,1,1,1,2
7,123,502,Nonmated,1A_Value,1,1,1,3
7,126,503,Nonmated,1A_Value,1,1,1,2
7,128,504,Nonmated,1A_Value,1,1,1,4
7,129,505,Nonmated,1A_Value,1,1,1,3
7,130,506,Mated,1A_Value,1,1,1,4
7,133,507,Mated,1A_Value,2,3,4,5
7,291,508,Mated,1A_Value,3,5,7,2
7,143,509,Mated,1A_Value,3,5,7,3
7,151,510,Mated,1A_Value,2,4,6,2
7,152,511,Mated,1A_Value,3,5,7,3
7,154,512,Nonmated,1A_Value,1,1,1,2
7,280,513,Mated,1A_Value,1,1,1,3
7,155,514,Mated,1A_Value,1,1,1,3
7,160,515,Mated,1A_Value,1,1,1,3
7,161,516,Nonmated,1A_Value,1,1,1,3
7,162,517,Mated,1A_Value,2,3,4,4
7,163,518,Mated,1A_Value,3,5,7,3
7,164,519,Mated,1A_Value,3,5,7,3
7,171,520,Mated,1A_Value,2,3,4,4
7,174,521,Nonmated,1A_Value,1,1,1,3
7,178,522,Mated,1A_Value,2,4,5,3
7,279,523,Nonmated,1A_Value,1,1,1,3
7,179,524,Nonmated,1A_Value,1,1,1,2
7,182,525,Nonmated,1A_Value,1,1,1,2
7,188,526,Nonmated,1A_Value,1,1,1,3
7,195,527,Mated,1A_Value,1,1,1,2
7,202,528,Nonmated,1A_Value,1,1,1,2
7,203,529,Nonmated,1A_Value,1,1,1,2
7,207,530,Nonmated,1A_Value,1,1,1,3
7,285,531,Nonmated,1A_Value,2,4,5,3
7,209,532,Nonmated,1A_Value,2,4,5,2
7,212,533,Mated,1A_Value,3,5,7,3
7,215,534,Nonmated,1A_Value,2,3,4,4
7,217,535,Nonmated,1A_Value,1,1,1,3
7,219,536,Nonmated,1A_Value,1,1,1,3
7,221,537,Nonmated,1A_Value,1,1,1,3
7,222,538,Nonmated,1A_Value,2,4,5,3
7,261,539,Nonmated,1A_Value,1,1,1,3
7,226,540,Nonmated,1A_Value,1,1,1,3
7,229,541,Mated,1A_Value,2,3,4,5
7,272,542,Mated,1A_Value,3,5,7,2
7,230,543,Mated,1A_Value,3,5,7,2
7,234,544,Nonmated,1A_Value,2,4,5,3
7,238,545,Nonmated,1A_Value,1,1,1,3
7,239,546,Nonmated,1A_Value,1,1,1,3
7,240,547,Mated,1A_Value,1,1,1,3
7,246,548,Nonmated,1A_Value,1,1,1,3
7,247,549,Nonmated,1A_Value,1,1,1,2
